lowlevel.mfcc.mean.1,lowlevel.mfcc.mean.10,lowlevel.mfcc.mean.11,lowlevel.mfcc.mean.12,lowlevel.mfcc.mean.2,lowlevel.mfcc.mean.3,lowlevel.mfcc.mean.4,lowlevel.mfcc.mean.5,lowlevel.mfcc.mean.6,lowlevel.mfcc.mean.7,lowlevel.mfcc.mean.8,lowlevel.mfcc.mean.9,lowlevel.spectral_centroid.mean,lowlevel.spectral_spread.mean,lowlevel.spectral_rolloff.mean,lowlevel.spectral_skewness.mean,lowlevel.spectral_flux.mean,lowlevel.spectral_kurtosis.mean,lowlevel.spectral_complexity.mean,lowlevel.spectral_contrast_coeffs.mean.0,lowlevel.spectral_contrast_coeffs.mean.1,lowlevel.spectral_contrast_coeffs.mean.2,lowlevel.spectral_contrast_coeffs.mean.3,lowlevel.spectral_contrast_coeffs.mean.4,lowlevel.spectral_contrast_coeffs.mean.5,lowlevel.spectral_contrast_valleys.mean.0,lowlevel.spectral_contrast_valleys.mean.1,lowlevel.spectral_contrast_valleys.mean.2,lowlevel.spectral_contrast_valleys.mean.3,lowlevel.spectral_contrast_valleys.mean.4,lowlevel.spectral_contrast_valleys.mean.5,lowlevel.dissonance.dmean
145.06,-0.04,4.52,-7.04,-32.14,23.77,4.69,10.24,-12.73,-2.56,2.74,6.08,1264.1,3193973.75,1413.54,1.84,0.07,7.43,11.89,-0.61,-0.74,-0.69,-0.71,-0.74,-0.73,-8.16,-7.17,-8.24,-8.34,-8.51,-11.69,0.04
144.32,-0.51,4.95,-7.7,-33.89,25.33,2.78,11.44,-13.47,-2.57,3.69,7.66,1311.15,3216481.75,1447.99,1.82,0.07,7.51,11.42,-0.62,-0.74,-0.69,-0.71,-0.75,-0.72,-8.16,-7.25,-8.25,-8.37,-8.5,-11.75,0.04
139.16,-0.01,5.17,-7.89,-39.06,27.09,1.25,11.24,-15.42,-3.36,3.83,8.34,1445.27,3477015.75,1660.45,1.67,0.07,6.61,10.58,-0.64,-0.75,-0.7,-0.71,-0.75,-0.72,-8.28,-7.26,-8.3,-8.36,-8.47,-11.77,0.04
138.14,-1.36,4.51,-7.98,-43.04,27.46,-1.38,9.33,-17.59,-4.02,3.88,7.57,1486.24,3412374.5,1717.87,1.65,0.07,6.65,11.29,-0.63,-0.75,-0.7,-0.71,-0.74,-0.72,-8.31,-7.12,-8.14,-8.2,-8.35,-11.66,0.04
138.44,-1.61,4.66,-7.05,-41.73,25.67,-2.58,8.71,-15.93,-3.05,3.9,6.28,1485.93,3901746.75,1738.93,1.64,0.06,6.58,10.89,-0.63,-0.76,-0.7,-0.73,-0.75,-0.72,-8.42,-7.13,-8.14,-8.22,-8.36,-11.64,0.04
139.69,-1.03,5.63,-6.05,-38.11,26.85,-1.58,9.9,-12.55,-1.79,3.34,6.12,1460.25,3271127,1611.64,1.63,0.08,6.34,11.67,-0.63,-0.76,-0.7,-0.73,-0.75,-0.72,-8.21,-7.06,-7.97,-8.16,-8.24,-11.56,0.04
138.89,-0.84,6.82,-6.18,-37.12,28.54,-2.33,8.71,-11.91,-0.14,3.83,5.57,1467.52,3401899,1557.57,1.64,0.07,6.53,11.22,-0.63,-0.76,-0.71,-0.74,-0.75,-0.72,-8.3,-7.17,-8.08,-8.21,-8.33,-11.66,0.05
134.51,0.32,9.35,-5.93,-39.7,30.02,-3.54,6.73,-11.61,0.69,3.81,6.44,1560.38,3234649.5,1683.9,1.62,0.07,6.61,11.24,-0.64,-0.75,-0.7,-0.75,-0.74,-0.72,-8.4,-7.19,-8.19,-8.23,-8.34,-11.67,0.05
138.86,-1.79,8.49,-6.49,-38.54,27.82,-6.04,4.58,-12.26,0.69,3.68,4.79,1482.08,3147818.25,1604.46,1.62,0.08,6.52,12.53,-0.62,-0.76,-0.69,-0.75,-0.73,-0.72,-8.28,-6.97,-7.94,-8.1,-8.25,-11.58,0.04
137.59,-2.56,8.19,-5.16,-37.46,27.6,-5.8,4,-11.77,-0.08,1.3,4.51,1481.96,3560118.5,1621.21,1.59,0.08,6.16,12.22,-0.62,-0.75,-0.71,-0.75,-0.74,-0.73,-8.37,-7.01,-7.95,-8.14,-8.27,-11.56,0.04
135.99,-1.52,10.21,-3.38,-34.44,32.45,-1.75,5.44,-10.75,1.31,2.65,4.37,1572.9,3505308.5,1688.2,1.51,0.08,5.44,12.64,-0.63,-0.74,-0.71,-0.75,-0.74,-0.72,-8.14,-7.02,-7.96,-8.04,-8.15,-11.42,0.03
136.79,-0.89,10.48,-3.74,-34.52,33.5,-2.23,3.75,-11.5,2.57,4.33,4.94,1511.52,3754790.75,1582.45,1.54,0.08,5.94,12.67,-0.62,-0.75,-0.72,-0.76,-0.74,-0.73,-8.2,-7.03,-8,-8.13,-8.23,-11.51,0.03
137.07,-0.7,10.53,-3.69,-38.86,33.52,-2.57,3.88,-11.23,1.19,2.88,4.77,1551.37,3199131.5,1619.3,1.56,0.08,6.16,12.67,-0.62,-0.75,-0.72,-0.75,-0.73,-0.72,-8.35,-7.03,-7.99,-8.06,-8.22,-11.58,0.04
142.13,-1.27,10.66,-3.1,-39.99,34.13,-4.3,1.75,-12.31,0.4,2.12,3.58,1479.73,3338037,1581.02,1.6,0.08,6.59,12.71,-0.61,-0.75,-0.72,-0.74,-0.73,-0.72,-8.38,-6.94,-7.99,-8.13,-8.27,-11.67,0.04
142.78,-0.32,9.9,-3.94,-40.53,33.61,-4.73,1.67,-11.9,-0.99,2.55,4.08,1440.91,3421536.25,1535.08,1.71,0.08,7.65,11.67,-0.61,-0.75,-0.72,-0.74,-0.73,-0.72,-8.51,-7.07,-8.08,-8.26,-8.43,-11.82,0.04
146.16,0.25,9.97,-2.85,-36.82,36.13,-2.5,1.97,-10.63,-1.04,4.25,5.12,1439.96,3422462.25,1440.81,1.62,0.08,6.7,11.89,-0.63,-0.74,-0.72,-0.74,-0.73,-0.72,-8.29,-7.03,-8.11,-8.22,-8.4,-11.81,0.04
146.19,-0.67,9.41,-3.06,-36.63,37.03,-2.87,3.03,-11.8,-1.73,4.12,5.49,1365.83,3614441.5,1445.6,1.57,0.08,6.36,11.98,-0.63,-0.74,-0.74,-0.75,-0.74,-0.72,-8.18,-7.03,-8.06,-8.22,-8.37,-11.82,0.04
146.06,-0.44,8.83,-2.35,-37.44,34.92,-2.37,4.64,-12.75,-4.2,3,6.61,1392.92,3791285.75,1470.96,1.51,0.08,5.58,12.18,-0.65,-0.74,-0.74,-0.75,-0.75,-0.72,-8.1,-6.99,-7.97,-8.04,-8.25,-11.71,0.04
149.22,-2.73,7.57,-1.45,-38.9,32.66,-3.06,6.18,-12.31,-4.51,1.76,5.24,1316.77,3226019.5,1374.3,1.74,0.09,7.59,13.51,-0.65,-0.75,-0.74,-0.74,-0.75,-0.72,-7.92,-6.78,-7.74,-7.86,-8.09,-11.6,0.04
149.54,-0.89,8.19,-1.23,-39.49,34.48,-2.97,7.63,-13.42,-5.79,-0.33,6.13,1326.8,3656658.75,1388.17,1.65,0.1,6.89,14.2,-0.64,-0.74,-0.74,-0.73,-0.76,-0.72,-7.86,-6.69,-7.72,-7.77,-8.02,-11.54,0.04
148.22,0.97,9.55,-1.87,-39.8,36.91,-0.79,7.99,-13.74,-5.86,0.81,5.96,1349.69,3345695,1382.91,1.49,0.1,5.26,14.27,-0.65,-0.74,-0.75,-0.73,-0.75,-0.71,-7.78,-6.66,-7.79,-7.77,-8.01,-11.53,0.03
146.9,2.29,9.36,-1.41,-38.8,36.56,-0.67,8.47,-13.65,-6.61,-0.16,6.58,1315.28,3386615,1298.21,1.51,0.1,5.37,14.33,-0.65,-0.74,-0.75,-0.73,-0.76,-0.72,-7.79,-6.68,-7.78,-7.8,-8.02,-11.53,0.03
145.43,3.05,9.77,-0.99,-41.86,34.3,-3.09,9.21,-14.78,-8.5,-1.93,7.39,1366.21,2992482.5,1430.76,1.58,0.1,6.43,15.16,-0.65,-0.73,-0.75,-0.72,-0.75,-0.71,-7.79,-6.55,-7.64,-7.64,-7.89,-11.45,0.04
147.24,2.36,8.69,-0.89,-41.81,34.66,-1.84,8.94,-16.53,-9.6,-2.3,6.23,1355.12,3712335,1415.45,1.64,0.11,6.95,16.18,-0.64,-0.73,-0.76,-0.72,-0.76,-0.71,-7.7,-6.45,-7.54,-7.55,-7.8,-11.3,0.04
145.59,2.5,8.21,-1.32,-41.46,32.92,-2.33,9.84,-15.44,-8.93,-2.73,6.24,1361.26,3487068.75,1422.15,1.52,0.1,5.5,15.8,-0.64,-0.74,-0.76,-0.72,-0.76,-0.71,-7.79,-6.48,-7.58,-7.57,-7.85,-11.35,0.04
143.17,2.23,8.39,-0.2,-39.73,33.95,0.85,12.07,-13.67,-7.23,-1.71,7.67,1414.59,3502713.25,1423.58,1.55,0.11,5.87,15.67,-0.65,-0.74,-0.76,-0.72,-0.76,-0.72,-7.62,-6.51,-7.54,-7.51,-7.77,-11.25,0.03
141.4,2.49,9.02,0.04,-40.46,33.88,1.52,12.1,-13.28,-5.46,-0.93,7.41,1441.15,3629047.5,1483.88,1.53,0.1,5.74,14.89,-0.66,-0.75,-0.76,-0.72,-0.76,-0.72,-7.66,-6.61,-7.65,-7.63,-7.85,-11.3,0.03
142.31,2.81,9.98,-0.05,-46.14,31.09,2.12,14.14,-12.15,-6.24,-1.89,6.95,1475.31,3540338.5,1538.91,1.56,0.1,5.97,14.71,-0.66,-0.74,-0.74,-0.7,-0.75,-0.72,-7.71,-6.75,-7.67,-7.62,-7.94,-11.37,0.03
144.97,0.66,9.72,-0.3,-48.7,31.51,-0.07,11.19,-14.07,-5.7,-2.41,5.27,1467.62,3090132.25,1602.55,1.62,0.1,6.66,14.69,-0.65,-0.74,-0.74,-0.7,-0.74,-0.71,-7.79,-6.72,-7.67,-7.69,-7.98,-11.51,0.03
144.3,0.33,8.32,-1.41,-45.62,30.14,-0.34,10.05,-14.64,-6.77,-2.92,4.83,1440.44,3936412.5,1570.01,1.58,0.1,6.34,15.53,-0.63,-0.74,-0.75,-0.71,-0.75,-0.72,-7.85,-6.66,-7.59,-7.62,-7.91,-11.34,0.03
146.84,-0.12,8.75,-0.18,-43.69,32.65,0.98,10.6,-12.81,-4.65,-1.23,6.29,1434.95,3055854.25,1511.15,1.59,0.1,6.26,15.78,-0.64,-0.73,-0.75,-0.71,-0.75,-0.71,-7.73,-6.69,-7.61,-7.68,-7.91,-11.46,0.03
147.05,0.05,8.67,1.09,-44.86,33.39,1.79,12.09,-11.56,-4.68,-1.35,8.15,1430.77,2886407,1503.97,1.7,0.1,7.81,15.47,-0.65,-0.73,-0.76,-0.71,-0.75,-0.71,-7.71,-6.81,-7.64,-7.69,-7.98,-11.56,0.03
145.3,-0.61,9.38,1.06,-48.91,33.44,1.38,13.05,-13.18,-6.19,-2.89,7.84,1499.85,3302720.75,1638.44,1.58,0.09,6.38,15,-0.66,-0.73,-0.76,-0.7,-0.74,-0.71,-7.8,-6.84,-7.74,-7.77,-8.04,-11.58,0.03
146.07,-2.47,8.59,0.09,-49.73,33.52,1.35,11.25,-14.45,-6.85,-2.42,7.14,1505.54,3121430.5,1703.04,1.65,0.09,7.17,14.69,-0.65,-0.73,-0.76,-0.7,-0.74,-0.71,-7.85,-6.82,-7.75,-7.81,-8.08,-11.63,0.03
142.94,-2.54,8.06,0.16,-49.55,32.39,1.31,11.42,-14.06,-7.12,-3.82,6.81,1528.82,3048650,1673.37,1.71,0.08,7.73,14.69,-0.64,-0.73,-0.76,-0.7,-0.73,-0.72,-8.06,-6.9,-7.84,-7.84,-8.15,-11.65,0.04
144.33,-2.14,9.45,0.57,-48.29,33.22,1.69,11.46,-13.03,-5.62,-3.48,6.1,1516.27,3265295.75,1638.44,1.6,0.09,6.46,14.64,-0.64,-0.73,-0.74,-0.7,-0.73,-0.71,-7.94,-6.86,-7.82,-7.86,-8.14,-11.62,0.04
142.44,-0.87,10.17,1.05,-48.15,35.52,2.84,11.84,-13.53,-5.56,-2.92,7.05,1573.15,3453949.5,1690.12,1.58,0.09,6.53,14.49,-0.65,-0.72,-0.74,-0.7,-0.72,-0.71,-7.89,-6.92,-7.94,-7.87,-8.16,-11.61,0.04
140.93,0.19,10.5,0.24,-49.49,35.45,1.03,10.95,-14.97,-5.78,-2.58,8.6,1600.67,3095403.75,1717.39,1.58,0.08,6.45,14.29,-0.65,-0.72,-0.74,-0.69,-0.72,-0.71,-8,-6.9,-7.89,-7.95,-8.17,-11.66,0.04
140.82,-0.85,8.6,-1.89,-48.06,35.03,0.78,8.33,-17.72,-6.21,-1.09,8.2,1611.36,3154053.75,1774.34,1.52,0.09,5.84,15.04,-0.64,-0.73,-0.75,-0.7,-0.72,-0.71,-7.94,-6.75,-7.76,-7.83,-8.05,-11.52,0.04
138.67,-0.97,6.62,-3.18,-47.72,33.4,0.65,7.37,-18.22,-5.36,0.46,8.76,1612.51,2919953,1782.47,1.63,0.08,7.02,14.07,-0.64,-0.74,-0.75,-0.7,-0.72,-0.71,-8.11,-6.87,-7.85,-7.96,-8.23,-11.65,0.03
139.14,-0.63,6.96,-2.3,-45.22,32.69,2.74,8.97,-16.9,-4.26,2.53,9.91,1622.48,3256288,1787.26,1.68,0.08,7.45,13.73,-0.66,-0.74,-0.74,-0.71,-0.72,-0.71,-7.94,-6.9,-7.83,-7.94,-8.18,-11.56,0.03
139.52,0.72,7.04,-2.61,-45.46,32.13,3.57,9.38,-17.15,-4.06,2.77,9.66,1620.08,3498541.5,1780.08,1.59,0.08,6.45,14.11,-0.67,-0.73,-0.74,-0.71,-0.72,-0.72,-7.83,-6.9,-7.84,-7.9,-8.16,-11.48,0.04
141.38,-0.55,6.92,-2.28,-46.15,26.54,0.92,7.35,-17.36,-3.33,3.48,8.67,1582.18,3572810.25,1806.4,1.67,0.09,7.04,14.49,-0.67,-0.72,-0.72,-0.71,-0.73,-0.72,-7.85,-6.82,-7.7,-7.84,-8.07,-11.37,0.03
143.4,-0.54,6.29,-3.49,-48.35,23.7,-1.21,5.37,-17.37,-3.19,3.93,8.03,1557.15,3550758.75,1829.84,1.77,0.08,8.01,14.33,-0.66,-0.72,-0.71,-0.71,-0.72,-0.72,-8.01,-6.88,-7.78,-7.94,-8.17,-11.51,0.03
142.54,-0.73,5.94,-3.9,-48.39,23.77,-1.32,4.45,-17.92,-3.45,3.21,6.83,1567.4,3559993.5,1846.11,1.72,0.08,7.62,14.58,-0.65,-0.73,-0.71,-0.71,-0.72,-0.72,-8.04,-6.84,-7.78,-7.92,-8.16,-11.46,0.03
144.61,-0.13,6.65,-3.7,-47.27,24.96,-0.28,4.39,-16.69,-2.19,4.87,7.88,1536.12,3395648,1837.5,1.68,0.09,7.16,14.49,-0.66,-0.73,-0.7,-0.72,-0.72,-0.72,-7.98,-6.85,-7.77,-7.9,-8.17,-11.48,0.03
145.21,0.07,5.56,-5.94,-47.02,25.21,0,4.44,-16.25,-0.92,6.63,9.85,1500.68,3212531.5,1781.04,1.73,0.08,7.5,14.93,-0.65,-0.72,-0.7,-0.71,-0.72,-0.72,-7.92,-6.92,-7.79,-7.97,-8.21,-11.51,0.03
150.6,-1.69,4.02,-7.22,-49.03,22.82,-1.1,4.29,-16.21,-2.36,5.59,8.61,1446.38,3328735.75,1731.27,1.84,0.09,8.74,15.36,-0.63,-0.72,-0.69,-0.7,-0.72,-0.72,-8.02,-6.92,-7.79,-7.95,-8.21,-11.57,0.03
155.78,-3.47,2.79,-7.85,-49.99,18.95,-3.67,2.45,-17.23,-3.77,4.04,6.65,1346.46,3142832,1659.49,1.86,0.09,8.46,16.33,-0.61,-0.72,-0.69,-0.7,-0.72,-0.73,-8.05,-6.81,-7.64,-7.87,-8.16,-11.54,0.03
155.03,-4.92,2.19,-6.32,-51.45,20.78,-4.01,3,-16.81,-3.86,2.93,6.12,1382.89,3263839.75,1675.28,1.86,0.1,8.6,17.13,-0.59,-0.71,-0.68,-0.69,-0.72,-0.73,-8.08,-6.79,-7.6,-7.81,-8.1,-11.45,0.03
157.96,-3.87,3.51,-5.43,-50.1,23.26,-3.29,5.45,-13.93,-4.87,0.47,5.36,1351.89,3556444.5,1560.92,1.79,0.1,8.22,16.44,-0.6,-0.71,-0.69,-0.69,-0.72,-0.72,-8.04,-6.84,-7.69,-7.86,-8.19,-11.56,0.04
157.38,-4.65,3.32,-5.82,-49.77,24.49,-2.76,6.62,-13.02,-4.88,0.77,4.8,1329.01,2817219,1544.65,1.77,0.1,8.09,16.47,-0.6,-0.72,-0.69,-0.69,-0.72,-0.72,-7.99,-6.88,-7.75,-7.9,-8.23,-11.69,0.04
157.11,-5.99,2.37,-6.2,-50.64,23.1,-4.79,6.99,-12.81,-4.89,0.18,4.04,1302.81,3175777,1566.66,1.75,0.09,7.69,16.27,-0.59,-0.72,-0.7,-0.7,-0.73,-0.72,-8.06,-6.93,-7.71,-7.85,-8.19,-11.65,0.04
155.71,-7.65,0.71,-7.28,-52.8,23.39,-4.46,7.47,-13.06,-5.45,-1.86,2.34,1340.5,3283216.75,1581.49,1.69,0.09,7.05,16.87,-0.57,-0.72,-0.71,-0.7,-0.74,-0.72,-8.06,-6.91,-7.54,-7.7,-8.08,-11.54,0.04
