alpha,arousal1,beta,theta,gamma,valence1,Stimuli (Visual),Response
2.83,0.35,3.89,3.33,3,-0.02,Sad,Sad
2.89,0.35,3.86,3.35,3.02,0,Sad,Sad
2.9,0.34,3.95,3.36,3.02,0,Sad,Sad
2.8,0.36,3.95,3.4,3.05,-0.01,Sad,Sad
2.78,0.36,3.9,3.46,3.05,-0.01,Sad,Sad
2.82,0.36,3.87,3.95,3.01,-0.01,Sad,Sad
2.85,0.35,4.15,4.4,2.86,-0.01,Sad,Sad
2.84,0.35,4.1,4.56,2.84,-0.01,Sad,Sad
2.84,0.35,3.96,4.57,3.28,0.01,Sad,Sad
2.8,0.36,4.1,4.61,3.37,0.01,Sad,Sad
2.81,0.36,4.21,4.69,3.53,0.01,Sad,Sad
2.81,0.36,4.26,4.75,3.62,0.02,Sad,Sad
2.7,0.37,4.36,4.75,3.69,0.01,Sad,Sad
2.68,0.37,4.29,4.76,3.78,0,Sad,Sad
2.63,0.38,4.47,4.84,3.85,0,Sad,Sad
2.55,0.39,4.49,4.81,4.07,0,Sad,Sad
2.8,0.36,4.37,4.76,4.15,0.03,Sad,Sad
2.96,0.34,4.25,4.97,4.13,0.06,Sad,Sad
3.11,0.32,4.31,5.13,4.18,0.07,Sad,Sad
3.13,0.32,4.24,5.13,4.04,0.06,Sad,Sad
3.31,0.3,4.31,5.11,4.01,0.06,Sad,Sad
3.52,0.28,4.3,5.03,3.93,0.05,Sad,Sad
3.71,0.27,4.25,4.98,3.81,0.05,Sad,Sad
3.85,0.26,4.2,4.99,3.72,0.06,Sad,Sad
3.94,0.25,4.22,5,3.85,0.06,Sad,Sad
4,0.25,4.06,4.92,3.7,0.06,Sad,Sad
4.01,0.25,4.09,4.87,3.45,0.06,Sad,Sad
3.89,0.26,4.17,4.62,3.54,0.06,Sad,Sad
3.77,0.27,4.24,3.9,3.73,0.05,Sad,Sad
3.79,0.26,4.42,3.82,3.69,0.05,Sad,Sad
3.79,0.26,4.37,4.24,3.65,0.05,Sad,Sad
3.67,0.27,4.26,4.45,3.76,0.05,Sad,Sad
3.45,0.29,4.32,4.49,3.8,0.05,Sad,Sad
3.24,0.31,4.31,4.49,4,0.04,Sad,Sad
3.03,0.33,4.32,4.42,3.94,0.03,Sad,Sad
2.72,0.37,4.35,4.35,3.86,0,Sad,Sad
2.53,0.4,4.58,4.35,3.92,-0.03,Sad,Sad
2.83,0.35,4.59,4.34,3.96,-0.04,Sad,Sad
3.29,0.3,4.59,4.33,3.88,-0.04,Sad,Sad
3.52,0.28,4.53,4.21,3.83,-0.04,Sad,Sad
3.46,0.29,4.55,3.87,3.8,-0.05,Sad,Sad
3.45,0.29,4.52,3.28,3.96,-0.05,Sad,Sad
3.44,0.29,4.55,2.8,3.91,-0.05,Sad,Sad
3.43,0.29,4.65,2.86,3.96,-0.04,Sad,Sad
3.45,0.29,4.63,3.05,3.86,-0.04,Sad,Sad
3.45,0.29,4.64,3.25,3.88,-0.04,Sad,Sad
3.51,0.28,4.53,3.27,3.78,-0.03,Sad,Sad
3.54,0.28,4.27,3.29,3.87,-0.02,Sad,Sad
3.39,0.29,4.53,3.38,4.04,-0.01,Sad,Sad
3,0.33,4.82,3.41,4.21,0.02,Sad,Sad
2.69,0.37,4.83,4.03,4.15,0.06,Sad,Sad
3.12,0.32,4.94,5.2,4.17,0,Sad,Sad
3.62,0.28,5.04,6.09,4.29,-0.05,Sad,Sad
4.27,0.23,5.19,6.54,4.37,-0.06,Sad,Sad
4.57,0.22,5.61,6.63,4.82,-0.06,Sad,Sad
4.96,0.2,6.31,6.66,4.84,-0.03,Sad,Sad
5.69,0.18,6.33,6.69,4.87,-0.02,Sad,Sad
5.95,0.17,6.34,6.8,4.89,-0.02,Sad,Sad
5.98,0.17,6.35,6.93,4.82,-0.02,Sad,Sad
5.99,0.17,6.3,7.01,4.71,-0.02,Sad,Sad
5.99,0.17,6.22,7.05,4.67,-0.02,Sad,Sad
6.01,0.17,6.22,7.06,4.67,-0.02,Sad,Sad
6.03,0.17,6.18,6.95,4.61,-0.02,Sad,Sad
6.01,0.17,6.15,6.65,4.42,-0.02,Sad,Sad
5.92,0.17,6.13,6.39,4.57,-0.02,Sad,Sad
5.84,0.17,5.29,6.37,4.02,-0.02,Sad,Sad
5.6,0.18,4.39,6.35,3.99,-0.02,Sad,Sad
4.89,0.2,4.27,6.29,3.94,-0.03,Sad,Sad
4.2,0.24,4.21,6.05,3.87,0,Sad,Sad
4.21,0.24,4.12,5.74,3.82,0.01,Sad,Sad
4.24,0.24,4.17,5.6,3.97,0.01,Sad,Sad
4.22,0.24,4.1,5.52,4.11,0.02,Sad,Sad
4.08,0.24,4.13,5.31,4.1,0.02,Sad,Sad
5.3,0.19,4.35,6.95,3.38,-0.12,Calm,Happy
5.26,0.19,4.3,6.87,3.37,-0.12,Calm,Happy
5.11,0.2,4.29,6.71,3.36,-0.12,Calm,Happy
5.02,0.2,4.16,6.27,3.36,-0.13,Calm,Happy
4.95,0.2,3.93,5.65,3.18,-0.13,Calm,Happy
4.5,0.22,3.84,5.55,3.13,-0.13,Calm,Happy
3.55,0.28,3.84,5.13,3.05,-0.08,Calm,Happy
3.14,0.32,3.77,4.4,2.9,-0.03,Calm,Happy
2.83,0.35,3.61,3.83,2.84,0,Calm,Happy
2.27,0.44,3.45,3.44,2.96,0.05,Calm,Happy
1.96,0.51,3.44,3.2,3.07,0.04,Calm,Happy
2.57,0.39,3.35,3.2,2.97,-0.05,Calm,Happy
3.12,0.32,3.57,3.42,3.05,-0.04,Calm,Happy
3.25,0.31,3.68,3.57,3.11,-0.03,Calm,Happy
3.54,0.28,5.64,3.9,4.11,0.02,Calm,Happy
4.69,0.21,5.78,5.33,4.27,0.09,Calm,Happy
5.13,0.19,5.98,6.33,4.35,0.1,Calm,Happy
5.17,0.19,5.99,6.64,4.46,0.09,Calm,Happy
5.31,0.19,6.01,6.71,4.51,0.06,Calm,Happy
5.47,0.18,6.03,6.75,4.56,0.05,Calm,Happy
5.52,0.18,6.05,6.76,4.54,0.04,Calm,Happy
5.52,0.18,6.05,6.77,4.55,0.05,Calm,Happy
5.5,0.18,6.1,6.77,4.56,0.05,Calm,Happy
5.48,0.18,6.1,6.76,4.53,0.05,Calm,Happy
5.48,0.18,6.06,6.75,4.4,0.05,Calm,Happy
5.35,0.19,5.12,6.72,3.93,0.05,Calm,Happy
4.9,0.2,4.62,6.3,3.72,0.04,Calm,Happy
4.54,0.22,4.37,5.37,3.53,0.01,Calm,Happy
4.46,0.22,4.33,4.87,3.28,0,Calm,Happy
3.94,0.25,4.22,4.41,3.33,0.02,Calm,Happy
2.92,0.34,4.14,3.83,3.27,0.02,Calm,Happy
2.8,0.36,4.14,3.74,3.21,0.01,Calm,Happy
2.72,0.37,4.07,3.59,3.14,-0.01,Calm,Happy
2.5,0.4,3.67,3.52,3.14,-0.03,Calm,Happy
2.44,0.41,3.64,3.55,3.23,-0.04,Calm,Happy
2.47,0.4,3.88,3.59,3.41,-0.02,Calm,Happy
2.54,0.39,3.84,3.75,3.4,0,Calm,Happy
2.54,0.39,3.9,3.9,3.43,0.03,Calm,Happy
2.56,0.39,3.93,3.88,3.58,0.06,Calm,Happy
2.62,0.38,3.91,3.82,3.53,0.09,Calm,Happy
2.83,0.35,3.9,3.89,3.46,0.14,Calm,Happy
3.07,0.33,4.02,3.87,3.52,0.11,Calm,Happy
3.1,0.32,4.12,3.83,3.54,0.09,Calm,Happy
3.49,0.29,4.23,4.24,3.53,0.06,Calm,Happy
4.24,0.24,4.23,4.41,3.64,0.02,Calm,Happy
4.56,0.22,4.1,4.37,3.58,0.01,Calm,Happy
4.58,0.22,4.07,4.29,3.57,0.01,Calm,Happy
4.63,0.22,4.1,4.22,3.55,0.01,Calm,Happy
4.7,0.21,4.27,4.24,3.51,0.01,Calm,Happy
4.7,0.21,4.28,4.27,3.41,0,Calm,Happy
4.69,0.21,4.29,4.28,3.39,0,Calm,Happy
4.66,0.21,4.24,4.25,3.34,0,Calm,Happy
4.62,0.22,4,4.25,3.35,0,Calm,Happy
4.6,0.22,3.97,4.09,3.39,0,Calm,Happy
4.34,0.23,3.79,3.72,3.38,0,Calm,Happy
3.73,0.27,3.89,3.61,3.31,0,Calm,Happy
3.43,0.29,3.98,3.63,3.26,0,Calm,Happy
3.53,0.28,4.04,3.8,3.43,0,Calm,Happy
3.54,0.28,4.07,4.02,3.5,0,Calm,Happy
3.38,0.3,3.8,4.17,3.59,0.01,Calm,Happy
3.45,0.29,4.05,4.31,3.77,0.01,Calm,Happy
3.47,0.29,4.1,4.34,3.74,0.02,Calm,Happy
3.46,0.29,4.09,4.3,3.69,0.03,Calm,Happy
3.46,0.29,4.05,4.29,3.7,0.03,Calm,Happy
3.42,0.29,4.03,4.3,3.67,0.02,Calm,Happy
3.29,0.3,4.03,4.24,3.72,0.01,Calm,Happy
3.17,0.32,3.93,4.21,3.7,0.01,Calm,Happy
3.07,0.33,3.97,4.31,3.76,0.02,Calm,Happy
2.65,0.38,3.83,4.29,3.57,0.03,Calm,Happy
2.28,0.44,3.91,4.03,3.65,0.04,Calm,Happy
2.54,0.39,3.89,3.64,3.57,-0.01,Calm,Happy
2.6,0.39,3.75,3.47,3.55,-0.06,Calm,Happy
2.59,0.39,3.87,3.53,3.62,-0.08,Calm,Happy
2.61,0.38,3.9,3.85,3.73,-0.09,Calm,Happy
2.65,0.38,3.92,4.03,3.67,-0.11,Calm,Happy
2.74,0.36,3.91,4.07,3.67,-0.1,Calm,Happy
2.93,0.34,3.93,4.16,3.64,-0.11,Calm,Happy
2.99,0.33,3.94,4.07,3.54,-0.13,Calm,Happy
3.03,0.33,3.91,4.04,3.48,-0.11,Calm,Happy
3.02,0.33,4.02,4.25,3.52,-0.11,Calm,Happy
2.94,0.34,3.98,4.42,3.54,-0.11,Calm,Happy
2.68,0.37,3.97,4.44,3.48,-0.1,Calm,Happy
2.49,0.4,3.94,4.45,3.27,-0.11,Calm,Happy
2.47,0.41,3.82,4.38,3.27,-0.1,Calm,Happy
2.45,0.41,3.86,4.24,3.15,-0.1,Calm,Happy
2.61,0.38,3.85,4.21,3.13,-0.09,Calm,Happy
2.76,0.36,4.1,4.17,3.27,-0.08,Calm,Happy
2.61,0.38,4.39,4.09,3.42,-0.06,Calm,Happy
2.71,0.37,4.41,4.06,3.48,-0.04,Calm,Happy
2.78,0.36,4.38,3.83,3.57,-0.08,Calm,Happy
2.83,0.35,4.36,3.47,3.57,-0.08,Calm,Happy
3.07,0.33,4.35,3.39,3.44,-0.06,Calm,Happy
3.2,0.31,4.29,3.9,3.47,-0.04,Calm,Happy
3.27,0.31,4.25,4.36,3.46,-0.03,Calm,Happy
3.47,0.29,4.26,4.4,3.54,-0.02,Calm,Happy
3.6,0.28,4.26,4.43,3.5,-0.02,Calm,Happy
3.48,0.29,4.47,4.48,3.48,-0.02,Calm,Happy
3.46,0.29,4.19,4.48,3.34,0,Calm,Happy
3.55,0.28,3.96,4.48,3.14,0,Calm,Happy
3.74,0.27,4.07,4.48,3.14,-0.01,Calm,Happy
3.94,0.25,3.99,4.48,3.03,-0.01,Calm,Happy
3.95,0.25,3.99,4.45,2.92,-0.01,Calm,Happy
3.86,0.26,4,4.27,3.06,0,Calm,Happy
3.83,0.26,3.97,3.72,3.32,-0.01,Calm,Happy
3.79,0.26,4.01,3.18,3.3,-0.01,Calm,Happy
3.59,0.28,4.02,3.22,3.25,-0.01,Calm,Happy
3.71,0.27,3.71,3.42,2.95,0.04,Happy,Happy
3.85,0.26,3.65,3.67,3.04,0.02,Happy,Happy
3.9,0.26,3.66,3.77,3.05,0.02,Happy,Happy
3.92,0.26,3.85,3.75,3.13,0.02,Happy,Happy
3.96,0.25,3.84,3.88,3.01,0.02,Happy,Happy
4.04,0.25,3.87,3.92,3.14,0.01,Happy,Happy
4.04,0.25,3.81,3.91,3.06,0.01,Happy,Happy
3.98,0.25,3.8,3.96,3.07,0,Happy,Happy
3.98,0.25,3.8,3.91,3.05,-0.01,Happy,Happy
3.94,0.25,3.82,3.88,3.12,-0.01,Happy,Happy
3.76,0.27,3.9,3.88,3.11,-0.01,Happy,Happy
3.46,0.29,3.82,3.84,3.06,-0.02,Happy,Happy
3.21,0.31,3.72,3.76,3.04,-0.02,Happy,Happy
3.13,0.32,3.72,3.83,3.15,-0.04,Happy,Happy
3.15,0.32,3.56,3.87,3.25,-0.06,Happy,Happy
3.27,0.31,3.67,3.84,3.15,-0.07,Happy,Happy
3.47,0.29,3.71,4.1,3.23,-0.1,Happy,Happy
3.54,0.28,3.8,4.26,3.37,-0.15,Happy,Happy
3.5,0.29,4.02,4.24,3.8,-0.15,Happy,Happy
3.65,0.27,4.67,4.22,4.21,-0.11,Happy,Happy
3.92,0.25,4.95,4.3,4.48,-0.11,Happy,Happy
4.07,0.25,5.27,5.06,4.54,-0.05,Happy,Happy
4.69,0.21,5.48,5.93,4.64,0.02,Happy,Happy
5.05,0.2,5.54,6.29,4.69,0.03,Happy,Happy
5.09,0.2,5.57,6.35,4.67,0.03,Happy,Happy
5.09,0.2,5.59,6.38,4.79,0.03,Happy,Happy
5.13,0.2,5.6,6.39,4.8,0.03,Happy,Happy
5.12,0.2,5.63,6.42,4.8,0.04,Happy,Happy
5.19,0.19,5.64,6.56,4.82,0.05,Happy,Happy
5.33,0.19,5.62,6.63,4.69,0.05,Happy,Happy
5.34,0.19,5.4,6.64,4.59,0.06,Happy,Happy
5.3,0.19,5.19,6.64,4.47,0.07,Happy,Happy
5.24,0.19,5.14,6.51,4.56,0.07,Happy,Happy
4.9,0.2,4.93,6.11,4.46,0.06,Happy,Happy
4.59,0.22,4.93,5.65,4.44,0.06,Happy,Happy
4.55,0.22,4.95,5.47,4.42,0.06,Happy,Happy
4.49,0.22,4.96,5.4,4.38,0.06,Happy,Happy
4.37,0.23,4.99,5.39,4.36,0.08,Happy,Happy
4.29,0.23,4.94,5.08,4.36,0.09,Happy,Happy
4.08,0.24,4.93,4.17,4.37,0.05,Happy,Happy
4.22,0.24,4.93,3.65,4.22,0.01,Happy,Happy
4.48,0.22,4.92,4.36,4.18,0.02,Happy,Happy
4.53,0.22,4.91,5.35,4.1,0.02,Happy,Happy
4.67,0.21,4.86,5.76,3.91,0.01,Happy,Happy
4.87,0.21,4.8,5.84,3.9,0.01,Happy,Happy
5,0.2,5.53,5.95,4.58,0.01,Happy,Happy
5.26,0.19,6.49,6.19,4.59,0,Happy,Happy
5.73,0.17,6.54,6.47,4.59,0,Happy,Happy
6.04,0.17,6.53,6.67,4.62,-0.01,Happy,Happy
6.1,0.16,6.53,6.85,4.6,-0.01,Happy,Happy
6.09,0.16,6.52,6.9,4.6,-0.01,Happy,Happy
6.08,0.16,6.53,6.89,4.62,-0.01,Happy,Happy
6.07,0.16,6.52,6.8,4.63,-0.01,Happy,Happy
6.07,0.16,6.52,6.64,4.58,-0.01,Happy,Happy
6.05,0.17,6.5,6.56,4.59,-0.01,Happy,Happy
5.98,0.17,6.5,6.54,4.61,-0.02,Happy,Happy
5.91,0.17,5.43,6.48,3.87,-0.02,Happy,Happy
5.75,0.17,4.5,6.36,3.88,-0.02,Happy,Happy
5.14,0.19,4.43,6.4,3.87,-0.03,Happy,Happy
4.43,0.23,4.41,6.23,3.72,-0.02,Happy,Happy
4.39,0.23,4.45,5.94,3.87,-0.02,Happy,Happy
4.15,0.24,4.44,6.14,3.94,-0.03,Happy,Happy
4.26,0.23,4.71,6.39,3.86,-0.03,Happy,Happy
4.87,0.21,4.9,6.52,4.02,-0.02,Happy,Happy
5.22,0.19,5.14,6.6,4.02,-0.01,Happy,Happy
5.33,0.19,5.19,6.65,4.03,-0.01,Happy,Happy
5.4,0.19,5.2,6.66,4.06,-0.01,Happy,Happy
5.45,0.18,5.2,6.61,4.05,-0.01,Happy,Happy
5.47,0.18,5.14,6.51,3.94,-0.01,Happy,Happy
5.5,0.18,5.15,6.44,3.95,-0.01,Happy,Happy
5.53,0.18,5.18,6.43,3.95,-0.01,Happy,Happy
5.55,0.18,5.17,6.42,3.77,-0.01,Happy,Happy
5.51,0.18,5.17,6.25,3.8,0,Happy,Happy
5.26,0.19,5.01,5.96,3.87,0,Happy,Happy
4.82,0.21,5.01,5.68,3.89,0.01,Happy,Happy
4.45,0.22,4.68,5.43,3.95,0.01,Happy,Happy
4.27,0.23,4.68,5.28,3.96,0.01,Happy,Happy
4.04,0.25,4.66,5.26,3.89,0.03,Happy,Happy
3.9,0.26,4.67,5.16,3.89,0.03,Happy,Happy
3.77,0.27,4.73,4.99,3.92,0.05,Happy,Happy
3.69,0.27,4.68,4.71,3.98,0.06,Happy,Happy
3.52,0.28,4.79,4.45,4.03,0.06,Happy,Happy
3.32,0.3,4.63,4.34,3.84,0.07,Happy,Happy
3.39,0.3,4.58,4.49,3.78,0.08,Happy,Happy
3.52,0.28,4.41,4.71,3.58,0.05,Happy,Happy
3.46,0.29,4.48,4.81,3.4,0.03,Happy,Happy
3.41,0.29,4.5,4.9,3.48,0.01,Happy,Happy
3.67,0.27,4.56,4.94,3.53,-0.01,Happy,Happy
3.84,0.26,4.61,4.93,3.53,-0.01,Happy,Happy
3.84,0.26,4.61,5.03,3.91,-0.01,Happy,Happy
3.81,0.26,4.71,5.05,3.95,-0.02,Happy,Happy
3.91,0.26,4.81,5.12,3.92,-0.01,Happy,Happy
4.6,0.22,4.92,5.45,3.98,-0.01,Happy,Happy
4.92,0.2,5.03,5.62,4.19,-0.01,Happy,Happy
5.02,0.2,5.07,5.54,4.32,-0.01,Happy,Happy
5.21,0.19,5.04,5.62,4.3,-0.01,Happy,Happy
5.38,0.19,4.93,5.72,4.29,-0.01,Happy,Happy
5.4,0.19,4.86,5.78,4.19,-0.01,Happy,Happy
5.36,0.19,4.86,5.9,4.19,-0.01,Happy,Happy
5.35,0.19,4.83,5.9,4.19,-0.01,Happy,Happy
5.39,0.19,4.81,5.89,3.99,-0.02,Happy,Happy
5.5,0.18,4.98,5.94,4.08,-0.02,Happy,Happy
5.58,0.18,5.23,5.89,4.2,-0.02,Happy,Happy
5.48,0.18,5.36,5.73,4.14,-0.02,Happy,Happy
5.46,0.18,5.43,5.64,3.96,-0.02,Happy,Happy
5.38,0.19,5.43,5.61,3.97,-0.02,Happy,Happy
5.17,0.19,5.46,5.35,4.2,-0.02,Happy,Happy
3.75,0.27,4.69,4.71,2.5,0.05,Calm,Sad
3.87,0.26,4.68,4.88,2.59,0.05,Calm,Sad
3.84,0.26,4.67,5.05,2.46,0.05,Calm,Sad
3.79,0.26,4.65,5.1,2.38,0.06,Calm,Sad
3.77,0.27,4.59,5.07,2.31,0.07,Calm,Sad
3.79,0.26,4.34,5,2.52,0.08,Calm,Sad
3.77,0.27,3.73,4.95,2.77,0.07,Calm,Sad
3.73,0.27,4.79,4.91,3.63,0.06,Calm,Sad
4.03,0.25,4.93,5.32,3.68,0.1,Calm,Sad
4.79,0.21,4.96,6.14,3.76,0.12,Calm,Sad
5.24,0.19,4.92,6.43,3.82,0.11,Calm,Sad
5.28,0.19,4.93,6.46,3.83,0.11,Calm,Sad
5.26,0.19,4.93,6.47,3.87,0.11,Calm,Sad
5.28,0.19,4.93,6.47,3.93,0.1,Calm,Sad
5.3,0.19,5.01,6.46,4.09,0.09,Calm,Sad
5.32,0.19,5.02,6.46,4.1,0.09,Calm,Sad
5.32,0.19,5.05,6.45,4.06,0.1,Calm,Sad
5.33,0.19,5.02,6.45,3.89,0.09,Calm,Sad
5.34,0.19,4.15,6.42,3.62,0.09,Calm,Sad
5.23,0.19,3.98,6.06,3.55,0.08,Calm,Sad
4.71,0.21,3.88,5.31,3.47,0.06,Calm,Sad
4.18,0.24,3.88,5.13,3.48,0.03,Calm,Sad
4.17,0.24,3.81,5.17,3.64,0.02,Calm,Sad
4.09,0.24,3.84,4.9,3.73,0.02,Calm,Sad
4.02,0.25,3.84,4.74,3.58,0.01,Calm,Sad
3.93,0.25,3.58,4.76,3.52,0.01,Calm,Sad
3.91,0.26,3.49,4.75,3.46,0.01,Calm,Sad
3.89,0.26,3.6,4.78,3.48,0.02,Calm,Sad
3.86,0.26,3.53,4.81,3.42,0.01,Calm,Sad
3.8,0.26,3.65,4.91,3.45,0.01,Calm,Sad
3.64,0.27,3.72,4.94,3.5,0.01,Calm,Sad
3.2,0.31,4.28,4.76,3.42,0.02,Calm,Sad
2.98,0.34,4.53,4.41,3.35,0.03,Calm,Sad
3.43,0.29,4.59,4.28,3.32,0.02,Calm,Sad
3.63,0.28,4.55,4.3,3.31,0.03,Calm,Sad
3.68,0.27,4.57,4.24,3.29,0.04,Calm,Sad
3.7,0.27,4.55,4.25,3.25,0.04,Calm,Sad
3.7,0.27,4.51,4.41,3.25,0.04,Calm,Sad
3.67,0.27,4.44,4.69,3.35,0.04,Calm,Sad
3.57,0.28,4.47,4.86,3.38,0.04,Calm,Sad
3.5,0.29,4.49,4.86,3.33,0.04,Calm,Sad
3.54,0.28,4.39,4.87,3.4,0.04,Calm,Sad
3.58,0.28,3.74,4.98,3.5,0.02,Calm,Sad
3.37,0.3,3.63,5.01,3.55,0.03,Calm,Sad
2.87,0.35,3.8,4.99,3.54,0.01,Calm,Sad
2.58,0.39,3.93,5.16,3.46,-0.04,Calm,Sad
2.67,0.38,3.9,5.5,3.49,-0.05,Calm,Sad
2.92,0.34,3.97,5.71,3.51,-0.03,Calm,Sad
3.02,0.33,4.09,5.71,3.5,-0.02,Calm,Sad
3.04,0.33,4.18,5.61,3.37,-0.01,Calm,Sad
3.06,0.33,4.15,5.51,3.36,-0.01,Calm,Sad
3.07,0.33,4.17,5.43,3.57,-0.01,Calm,Sad
3.02,0.33,4.19,5.36,3.57,0.01,Calm,Sad
2.85,0.35,4.13,5.31,3.49,0.03,Calm,Sad
2.69,0.37,4.03,5.3,3.39,0.06,Calm,Sad
2.68,0.37,3.84,5.31,3.58,0.07,Calm,Sad
2.65,0.38,3.89,5.23,3.62,0.08,Calm,Sad
2.44,0.41,3.98,4.86,3.67,0.1,Calm,Sad
2.11,0.48,3.95,4.32,3.66,0.12,Calm,Sad
1.97,0.51,3.83,4.17,3.65,0.15,Calm,Sad
2.06,0.48,3.88,4.31,3.67,0.13,Calm,Sad
2.23,0.45,3.92,4.4,3.71,0.11,Calm,Sad
2.25,0.44,3.9,4.41,3.81,0.1,Calm,Sad
2.17,0.46,4.02,4.43,3.91,0.13,Calm,Sad
2.77,0.36,4.03,4.78,3.9,0.09,Calm,Sad
3.57,0.28,4,5.05,3.81,0.04,Calm,Sad
3.87,0.26,3.92,5.03,3.72,0.03,Calm,Sad
3.9,0.26,4,4.91,3.72,0.03,Calm,Sad
3.91,0.26,3.97,4.87,3.71,0.03,Calm,Sad
3.89,0.26,4,4.93,3.72,0.02,Calm,Sad
3.89,0.26,4.01,4.93,3.73,0.02,Calm,Sad
3.86,0.26,3.98,4.86,3.75,0.02,Calm,Sad
3.86,0.26,3.9,4.81,3.58,0.03,Calm,Sad
3.9,0.26,3.93,4.79,3.27,0.02,Calm,Sad
3.88,0.26,3.89,4.74,3.3,0.01,Calm,Sad
3.57,0.28,3.88,4.77,3.32,0.01,Calm,Sad
3.29,0.3,3.98,4.93,3.25,0.03,Calm,Sad
3.54,0.28,4.01,5.03,3.16,0.03,Calm,Sad
3.72,0.27,3.92,5.01,3.07,0.01,Calm,Sad
3.77,0.27,3.81,4.96,3.01,0.01,Calm,Sad
3.79,0.26,3.82,4.93,3.01,0.01,Calm,Sad
3.85,0.26,3.89,4.94,2.95,0.01,Calm,Sad
3.89,0.26,3.89,5.06,2.91,0.01,Calm,Sad
3.92,0.25,3.87,5.17,3.11,0.01,Calm,Sad
3.92,0.25,3.82,5.21,3.19,0.02,Calm,Sad
3.92,0.26,3.96,5.11,3.06,0.02,Calm,Sad
3.82,0.26,3.96,4.81,3.05,0.01,Calm,Sad
3.6,0.28,3.9,4.57,3.03,0.01,Calm,Sad
3.21,0.31,3.94,4.8,3.14,0.01,Calm,Sad
2.88,0.35,3.99,5.1,3.21,0.05,Calm,Sad
2.79,0.36,3.99,5.27,3.21,0.09,Calm,Sad
2.82,0.35,3.96,5.3,3.14,0.08,Calm,Sad
2.85,0.35,3.9,5.25,3.14,0.05,Calm,Sad
2.74,0.36,3.85,5.2,3.04,0.01,Calm,Sad
2.53,0.39,3.97,5.13,2.75,-0.06,Calm,Sad
2.47,0.4,3.93,5.11,2.79,-0.07,Calm,Sad
2.47,0.4,3.74,5.16,2.79,-0.07,Calm,Sad
2.54,0.39,3.7,5.16,2.88,-0.05,Calm,Sad
2.59,0.39,3.67,4.96,2.99,-0.05,Calm,Sad
2.59,0.39,3.51,4.56,2.89,-0.05,Calm,Sad
2.75,0.36,3.5,4.31,2.88,-0.04,Calm,Sad
3.29,0.3,3.43,4.99,3,-0.02,Calm,Sad
3.73,0.27,3.6,5.55,3.02,-0.01,Calm,Sad
3.87,0.26,3.79,5.67,3.01,0,Calm,Sad
3.87,0.26,3.71,5.65,3.05,0.01,Calm,Sad
3.88,0.26,3.69,5.68,3.04,0.01,Calm,Sad
3.87,0.26,3.68,5.69,3.05,0.01,Calm,Sad
4.51,0.22,5.31,6.8,3.83,-0.01,Sad,Sad
4.38,0.23,4.98,6.16,3.82,-0.03,Sad,Sad
4.32,0.23,4.89,5.77,3.78,-0.06,Sad,Sad
4.2,0.24,4.73,5.53,3.69,-0.06,Sad,Sad
3.81,0.26,4.15,5.24,3.65,-0.05,Sad,Sad
