alpha,arousal1,betha,theta,gamma,valence1
3.13,0.32,3.36,4.48,2.18,0.03
3.47,0.288,3.32,4.73,2.15,0.0365
3.49,0.286,3.43,4.76,2.07,0.0486
3.51,0.285,3.31,4.75,1.99,0.0543
3.64,0.275,3.34,4.72,1.99,0.0583
3.77,0.266,3.39,4.69,2.01,0.0606
3.91,0.255,3.46,4.73,2.05,0.053
4.14,0.241,3.45,4.8,2.07,0.0365
4.27,0.234,3.46,4.97,2.1,0.0289
4.26,0.235,3.37,5.1,2.06,0.0278
4.16,0.24,3.14,5.09,1.96,0.029
3.94,0.254,3.12,4.89,1.97,0.0293
3.79,0.264,3.01,4.63,1.98,0.0222
3.83,0.261,3.14,4.57,2.01,0.0171
3.86,0.259,3.17,4.58,2.15,0.0117
3.81,0.262,3.19,4.68,2.1,0.0031
3.7,0.27,3.22,4.76,2.09,-0.00716
3.44,0.291,3.08,4.76,2.08,-0.0173
3.01,0.333,3.18,4.64,1.93,-0.031
2.7,0.371,3.34,4.34,1.92,-0.0408
2.69,0.372,3.42,4.18,1.88,-0.0264
2.7,0.37,3.52,4.21,1.96,-0.0164
2.77,0.361,3.52,4.22,1.96,-0.00544
2.84,0.352,3.44,4.19,1.95,0.0108
2.72,0.367,3.33,4.24,2.02,0.0181
2.5,0.4,3.3,4.36,2.12,0.0149
2.4,0.417,3.3,4.55,2.07,0.00795
2.37,0.422,3.29,4.73,2.06,0.0132
2.38,0.421,3.32,4.77,2.08,0.0251
2.43,0.412,3.17,4.72,2.1,0.0369
2.46,0.406,2.86,4.71,2.09,0.0377
2.42,0.413,2.73,4.73,2.16,0.0205
2.37,0.422,2.94,4.68,2.15,-0.00616
2.31,0.434,2.93,4.59,2.19,-0.0405
2.33,0.43,2.92,4.57,2.1,-0.0625
2.27,0.441,2.94,4.53,2.03,-0.0713
2.35,0.426,3.4,4.43,2.08,-0.053
2.69,0.371,3.48,4.28,2.08,-0.00213
2.97,0.337,3.6,4.12,2.1,0.0318
3.05,0.328,3.65,4.03,2.17,0.0205
3.29,0.304,3.73,4.06,2.24,-0.000811
3.51,0.285,3.8,4.17,2.17,0.00463
3.2,0.313,3.6,6.04,3.33,-0.0157
2.46,0.406,3.44,5.89,2.87,-0.0158
2.23,0.449,3.47,5.78,2.83,-0.0372
2.23,0.449,3.39,5.75,2.66,-0.0404
2.19,0.456,3.26,5.75,2.59,-0.0477
2.17,0.46,2.96,5.67,2.69,-0.0401
1.98,0.506,3,5.39,2.63,-0.0542
1.91,0.522,3.08,5,2.6,-0.0798
2.14,0.468,3.13,4.71,2.66,-0.0935
2.31,0.432,3.09,4.52,2.6,-0.109
2.41,0.415,3.1,4.57,2.54,-0.0938
2.5,0.4,3.11,4.65,2.59,-0.0796
2.56,0.391,3.16,4.63,2.68,-0.0658
2.51,0.398,3.07,4.64,2.7,-0.0613
2.87,0.348,3.37,4.66,2.71,-0.0411
3.17,0.316,3.42,4.64,2.26,-0.0303
3.34,0.3,3.4,4.64,2.19,-0.0243
3.42,0.293,3.46,4.62,2.22,-0.0182
3.38,0.296,3.52,4.34,2.25,-0.0202
3.33,0.301,3.67,3.92,2.14,-0.0193
3.26,0.307,3.67,3.87,2.22,-0.00745
3.27,0.306,3.76,3.68,2.2,-0.0073
3.29,0.304,3.77,3.35,2.11,-0.0221
3.32,0.301,3.8,3.36,1.96,-0.0308
3.33,0.301,3.84,3.4,1.9,-0.0361
3.23,0.309,3.65,3.56,2.1,-0.0399
3.06,0.327,3.64,3.55,2.1,-0.0438
2.98,0.336,3.66,3.4,2.1,-0.0544
2.98,0.336,3.59,3.33,2.1,-0.0637
2.98,0.336,3.38,3.31,2.02,-0.0627
2.98,0.336,3.32,3.29,2.04,-0.062
2.96,0.338,3.27,3.44,1.99,-0.0678
2.9,0.345,3.11,3.84,2.13,-0.0518
2.85,0.351,3.08,4.56,2.29,-0.0175
2.8,0.357,2.91,5.07,2.26,0.0115
2.63,0.38,3.05,5.21,2.34,0.0391
2.46,0.407,3.23,5.25,2.58,0.0737
2.31,0.434,3.43,5.3,2.66,0.0926
2.45,0.409,3.43,5.33,2.82,0.109
2.61,0.383,3.45,5.33,2.81,0.138
2.72,0.367,3.43,5.32,2.82,0.137
2.86,0.35,3.42,5.32,2.82,0.123
3.01,0.332,3.48,5.31,2.8,0.126
3.04,0.329,3.54,5.2,2.66,0.134
2.98,0.336,3.49,4.75,2.67,0.132
3,0.333,3.51,4.07,2.79,0.116
2.99,0.334,3.4,3.95,2.79,0.108
2.97,0.337,3.2,3.82,2.65,0.104
2.86,0.35,3.14,3.52,2.58,0.101
2.82,0.355,3.21,3.4,2.55,0.0597
2.81,0.356,3.29,3.63,2.6,0.042
2.72,0.368,3.6,4.08,2.59,0.0254
2.74,0.364,3.58,4.64,2.58,0.00625
3,0.333,3.5,4.99,2.63,-0.00667
3.19,0.313,3.45,5.16,2.59,-0.0134
3.34,0.299,3.47,5.43,2.62,-0.00915
3.58,0.279,3.6,5.67,2.4,-0.00735
3.71,0.269,3.61,5.74,2.34,-0.00625
3.77,0.266,3.67,5.74,2.19,-0.00667
3.77,0.266,3.67,5.76,2.21,-0.00545
3.71,0.27,3.55,5.79,2.08,-0.0026
3.71,0.269,3.56,5.77,2.02,-0.00188
3.77,0.266,3.48,5.69,2.06,-0.00128
3.71,0.269,3.48,5.52,2.18,-0.00478
3.57,0.28,3.51,5.36,2.1,-0.00933
3.46,0.289,3.61,5.18,2.08,-0.0117
3.24,0.308,3.59,4.81,2,-0.00897
3.02,0.331,3.39,4.32,1.94,-0.00345
2.77,0.361,3.41,4,2,-0.000999
2.7,0.37,3.36,3.88,1.89,0.0216
2.78,0.359,3.26,3.75,1.8,0.0343
2.92,0.342,3.19,3.7,1.76,0.0357
2.97,0.337,3.07,3.71,1.8,0.0393
2.96,0.338,2.91,3.64,1.71,0.0387
2.92,0.342,2.98,3.44,1.61,0.0318
2.92,0.343,2.85,3.22,1.69,0.0228
2.95,0.339,2.62,3.19,1.64,0.0118
2.89,0.345,2.58,3.69,1.67,0.000311
3.03,0.33,2.63,4.88,1.67,0.00338
3.26,0.307,2.73,5.49,1.55,-0.00207
3.34,0.3,2.79,5.63,1.57,-0.0039
3.26,0.307,2.8,5.63,1.65,-0.0118
3.18,0.314,2.8,5.67,1.49,-0.0302
3.15,0.318,2.77,5.69,1.48,-0.041
3.09,0.323,2.57,5.69,1.62,-0.0409
3.07,0.326,2.59,5.68,1.57,-0.037
3.11,0.321,2.81,5.67,1.56,-0.0432
3.1,0.323,2.86,5.68,1.77,-0.0451
3.1,0.323,2.91,5.62,1.86,-0.0337
3.01,0.333,2.93,5.23,1.92,-0.0291
2.6,0.385,2.71,4.42,1.9,-0.0395
2.59,0.386,2.7,3.88,1.94,-0.0423
2.64,0.378,2.75,3.71,1.95,-0.035
2.52,0.397,2.77,3.56,1.96,-0.00427
2.37,0.421,2.81,3.61,2.01,0.0276
2.35,0.425,2.85,3.62,1.95,0.0278
2.28,0.439,2.82,3.65,1.97,0.0428
2.14,0.466,2.65,3.71,2.01,0.0895
2.09,0.479,2.63,3.73,1.93,0.0861
1.84,0.544,2.69,3.69,1.95,0.091
1.95,0.512,2.66,3.64,2.24,0.0879
2.33,0.43,2.7,3.6,2.27,0.0507
2.55,0.392,2.77,3.59,2.37,0.0306
2.63,0.381,2.8,3.58,2.39,0.0163
2.7,0.37,2.83,3.47,2.44,0.0114
2.81,0.356,2.83,3.36,2.48,0.0159
2.96,0.338,2.91,3.32,2.45,0.0202
3.61,0.277,3.34,3.94,2.81,0.00179
3.61,0.277,3.32,4.06,2.72,0.00155
3.65,0.274,3.2,4.04,2.71,-0.000687
3.64,0.275,3.24,4.03,2.72,-0.00145
3.45,0.29,3.24,4.03,2.78,0.00727
3.45,0.29,3.12,3.99,2.63,0.0149
3.54,0.283,3.16,4.06,2.55,0.0141
3.48,0.287,3.02,4.03,2.53,0.00374
3.33,0.3,3.16,4.34,2.61,0.00175
3.36,0.297,3.17,5.01,2.5,-0.00207
3.39,0.295,3.04,5.37,2.35,-0.0091
3.44,0.29,3.01,5.58,2.26,-0.0105
3.46,0.289,3.19,5.69,2.26,-0.0136
3.45,0.29,3.27,5.73,2.25,-0.0173
3.66,0.273,3.19,5.76,2.1,-0.017
3.77,0.265,3.23,5.78,2.06,-0.0119
3.69,0.271,3.26,5.79,1.94,-0.0105
3.47,0.288,3.28,5.78,1.9,-0.0153
3.4,0.294,3.09,5.78,2.03,-0.0149
3.38,0.296,3.11,5.59,2.02,-0.0184
3.3,0.303,3.18,5.27,1.98,-0.0237
3.27,0.305,3.19,5.07,1.97,-0.0239
3.23,0.31,3.16,4.76,2.06,-0.0217
3.16,0.316,2.99,4.42,2.04,-0.0127
3.04,0.329,3.08,4.28,2.09,-0.00367
2.53,0.396,3.18,4.18,2.24,0.0187
2,0.5,3.33,4.15,2.33,0.0125
2.18,0.458,3.27,4.18,2.42,-0.0186
2.55,0.393,3.21,4.24,2.3,-0.00782
2.68,0.374,3.18,4.28,2.23,0.000753
2.84,0.352,3.13,4.25,2.13,0.000157
2.96,0.338,3.14,4.11,2.12,-0.00695
3.07,0.325,3.23,3.95,2.18,-0.0169
3.25,0.308,3.26,4.21,2.39,-0.00754
3.55,0.282,3.26,4.44,2.37,0.00588
3.81,0.262,3.16,4.47,2.4,0.00971
3.86,0.259,3.01,4.59,2.32,0.0104
3.86,0.259,2.84,4.73,2.25,0.0116
3.81,0.262,2.87,4.8,2.29,0.0155
3.75,0.267,2.91,4.79,2.32,0.018
3.7,0.27,3.13,4.76,2.37,0.015
3.74,0.268,3.19,5.02,2.39,0.00983
3.72,0.269,3.26,5.57,2.44,0.00919
3.73,0.268,3.38,5.91,2.39,0.0137
3.94,0.254,3.5,5.89,2.29,0.0125
4.16,0.24,3.52,5.85,2.58,0.00551
4.14,0.242,3.59,5.83,2.69,0.00404
4.15,0.241,3.6,5.8,2.68,0.00295
4.23,0.237,3.67,5.75,2.68,-0.000125
4.25,0.235,3.71,5.72,2.69,-0.00437
4.27,0.234,3.69,5.72,2.9,-0.0076
4.24,0.236,3.57,5.66,2.87,-0.00643
4.17,0.24,3.6,5.33,2.9,-0.00319
4.15,0.241,3.47,4.35,2.87,-0.00183
4.04,0.248,3.38,3.51,2.87,-0.0054
3.49,0.286,3.19,3.7,2.94,-0.016
2.98,0.336,3.14,3.72,2.6,-0.0157
3.01,0.332,3.31,3.68,2.64,-0.00269
2.95,0.339,3.27,3.51,2.7,0.0149
2.83,0.353,3.24,3.48,2.74,0.0451
2.85,0.351,3.41,3.7,2.74,0.0771
2.95,0.338,3.63,4.23,2.67,0.0706
3.16,0.316,3.64,4.5,2.81,0.0459
3.34,0.299,3.86,4.62,3.11,0.0366
3.46,0.289,3.99,4.86,3.1,0.0458
3.73,0.268,4.09,5.04,3.04,0.0409
3.88,0.257,4.09,5.07,3.01,0.0331
3.87,0.259,4.14,5.09,3.02,0.0274
3.85,0.26,4.04,5.14,2.98,0.017
3.84,0.26,4.08,5.17,2.97,0.0097
3.88,0.257,4.12,5.2,2.9,0.0116
3.96,0.253,4,5.28,2.87,0.0115
3.93,0.255,3.96,5.29,2.76,0.0118
3.85,0.26,3.92,5.27,2.58,0.0139
3.93,0.254,3.76,5.28,2.06,0.0143
3.92,0.255,3.44,5.14,2.01,0.0066
3.66,0.273,3.32,5.01,2.06,-0.0041
3.53,0.284,3.38,5,1.96,-0.00766
3.55,0.281,3.25,5.01,2.11,-0.00447
3.52,0.284,3.29,5,2.09,0.00429
3.47,0.288,3.2,4.95,1.95,0.00786
3.33,0.3,3.11,4.75,2.04,0.00195
3.13,0.319,3.08,4.46,2.05,0.00186
3.1,0.323,3.07,4.34,2.16,0.0185
2.9,0.344,3.01,4.22,2.2,0.0187
2.66,0.376,3.11,4.05,2.21,0.00619
2.68,0.374,3.13,4.16,2.23,0.00401
2.67,0.374,3.22,4.35,2.23,0.00713
2.76,0.363,3.27,4.38,2.25,-0.00875
2.8,0.357,3.24,4.31,2.13,-0.00732
2.8,0.357,3.2,4.26,2.11,0.00392
2.78,0.36,3.22,4.35,2.21,-0.00237
2.83,0.353,3.33,4.41,2.11,0.00433
2.9,0.345,3.27,4.44,2.11,0.00247
2.92,0.343,3.2,4.59,2.03,-0.00952
2.98,0.336,3.17,4.68,2.05,-0.0167
2.84,0.352,3.14,4.63,2.05,-0.0294
2.7,0.37,3.12,4.45,2.09,-0.0376
2.71,0.369,2.92,4.32,2.03,-0.00495
2.64,0.378,2.87,4.43,1.97,0.0251
2.59,0.385,2.83,4.55,1.95,0.0316
2.65,0.378,2.89,4.6,2,0.0333
2.66,0.376,2.82,4.63,2.03,0.0396
2.52,0.397,2.73,4.6,2.11,0.0444
2.6,0.385,2.76,4.52,2.16,0.0593
2.73,0.366,2.84,4.39,2.1,0.0768
2.75,0.364,2.95,4.39,2.03,0.108
2.44,0.409,3.5,4.62,1.82,-0.0327
2.57,0.389,3.47,4.64,1.81,-0.0178
2.67,0.374,3.56,4.68,1.86,-0.013
2.7,0.37,3.59,4.87,1.83,-0.0279
2.73,0.366,3.56,5.11,1.95,-0.0408
2.75,0.364,3.6,5.19,1.9,-0.041
2.8,0.357,3.6,5.18,1.96,-0.0319
2.8,0.357,3.59,5.25,1.98,-0.0298
2.88,0.347,3.61,5.34,1.87,-0.0232
3.01,0.332,3.35,5.35,1.85,-0.0198
3.09,0.324,3.35,5.29,1.88,-0.0237
3,0.333,3.3,5.22,2.03,-0.0258
2.84,0.352,3.19,5.22,2.03,-0.0339
2.77,0.361,3.05,5.18,1.98,-0.0311
2.79,0.359,3.05,4.92,1.98,-0.0128
2.79,0.358,2.99,4.44,1.79,-0.000523
2.72,0.368,3.02,4.13,1.68,-0.0107
2.69,0.372,2.98,4.13,1.62,-0.0441
2.85,0.351,2.89,3.97,1.57,-0.0644
2.83,0.354,2.74,3.56,1.58,-0.0841
2.65,0.377,3.08,3.28,1.52,-0.114
2.45,0.408,3.47,3.35,1.42,-0.12
2.47,0.405,3.61,3.49,1.1,-0.0916
2.84,0.352,3.62,3.9,1.19,-0.0571
3.11,0.321,3.66,4.49,1.2,-0.0453
3.12,0.32,3.67,4.79,1.22,-0.0533
3.09,0.324,3.71,4.88,1.27,-0.0629
3.11,0.322,3.72,4.95,1.3,-0.0525
3.18,0.314,3.77,5.08,1.29,-0.021
3.34,0.299,3.79,5.22,1.3,0.00121
3.49,0.287,3.74,5.33,1.26,-0.00371
3.63,0.276,3.59,5.38,1.31,-0.0169
3.69,0.271,3.29,5.36,1.64,-0.0254
3.64,0.275,3.3,5.35,1.65,-0.0263
3.6,0.278,3.24,5.24,1.62,-0.0221
3.71,0.269,3.24,5.07,1.64,-0.0168
3.9,0.256,3.34,5.02,1.64,-0.0132
3.92,0.255,3.32,4.97,1.65,-0.0129
3.94,0.254,3.21,4.88,1.63,-0.0146
3.92,0.255,3.21,4.66,1.78,-0.0219
3.8,0.263,3.2,4.38,1.86,-0.027
3.68,0.272,3.15,4.16,1.94,-0.0201
3.59,0.279,3.09,4.23,1.86,-0.0067
3.57,0.28,3.08,4.39,1.7,0.00556
3.57,0.28,3.13,4.35,1.71,0.0057
3.36,0.297,3.38,4.29,1.74,0.0066
2.97,0.336,3.36,4.21,1.76,0.00969
2.99,0.334,3.31,4.12,1.76,0.00978
3.13,0.319,3.38,4.13,1.79,0.00669
3.01,0.332,3.63,4.12,1.86,0.0148
2.92,0.343,3.72,4.07,1.67,0.0414
2.98,0.335,3.79,4.01,1.81,0.0485
3.29,0.304,3.8,3.94,1.79,0.0329
3.62,0.277,3.82,3.69,1.82,0.0296
3.77,0.266,3.77,3.5,1.85,0.0312
3.82,0.262,3.72,3.55,1.76,0.0323
3.94,0.254,3.6,4.04,1.76,0.0266
4.09,0.245,3.55,4.74,1.8,0.0178
4.12,0.243,3.51,5,1.79,0.0131
4.13,0.242,3.31,5.1,1.74,0.011
4.12,0.242,3.06,5.2,1.77,0.0102
4.14,0.241,2.92,5.24,1.74,0.00882
4.09,0.244,2.82,5.25,1.57,0.009
3.89,0.257,3.05,5.24,1.55,0.00457
3.77,0.265,3.13,5.25,1.66,-0.0082
3.97,0.252,3.05,5.28,1.66,-0.0122
4.16,0.24,3.04,5.45,1.62,-0.0121
4.15,0.241,3.07,5.35,1.64,-0.0156
4.18,0.239,3.12,5.06,1.66,-0.0167
4.23,0.236,3.21,4.98,1.7,-0.0125
4.35,0.23,3.17,5.03,1.93,-0.00896
4.4,0.227,3.21,5.04,2.05,-0.00856
4.4,0.227,3.25,5.03,2.03,-0.00853
4.4,0.227,3.31,5.03,2.05,-0.00993
4.41,0.227,3.15,5.02,2.09,-0.0113
4.34,0.23,3.35,5.02,2.07,-0.00932
4.28,0.234,3.37,4.92,2.13,-0.00198
4.21,0.238,3.41,4.52,2.13,0.00323
4.11,0.243,3.41,4.35,2.29,0.00769
4.01,0.249,3.34,4.37,2.27,0.0138
3.77,0.265,3.35,4.28,2.19,0.0193
3.5,0.286,3.36,3.94,2.08,0.026
3.44,0.291,3.38,3.74,1.98,0.0295
3.42,0.292,3.32,4,1.99,0.0347
3.48,0.288,3.3,4.15,1.88,0.0447
3.65,0.274,3.39,4.23,1.89,0.0516
3.81,0.262,3.32,4.39,1.9,0.0384
3.74,0.267,3.27,4.71,1.92,0.0237
3.53,0.283,3.26,4.96,1.86,0.0278
3.44,0.291,3.27,5.03,1.84,0.0319
3.41,0.293,3.37,5.04,1.85,0.0297
3.4,0.294,3.42,5.06,1.84,0.03
3.39,0.295,3.37,5.03,1.91,0.0297
3.43,0.291,3.3,4.95,1.99,0.0244
3.48,0.287,3.36,4.81,2.09,0.0154
3.42,0.292,3.63,4.75,2.36,-0.0018
3.33,0.3,3.57,4.78,2.33,-0.0246
3.47,0.288,3.6,4.81,2.46,-0.0147
3.72,0.269,3.66,4.63,2.55,-0.00398
3.81,0.263,3.67,4.36,2.52,-0.00263
3.86,0.259,3.6,4.45,2.48,-0.00266
3.89,0.257,3.5,4.65,2.55,-0.00196
3.9,0.256,3.56,4.75,2.59,-0.000341
3.91,0.256,3.69,4.8,2.57,0.000821
3.9,0.256,3.82,4.8,2.59,-0.000615
3.9,0.257,3.8,4.8,2.5,0.00538
3.86,0.259,3.54,4.82,2.58,0.0174
2.77,0.361,3.02,3.78,1.89,-0.0723
2.73,0.367,2.99,3.7,1.81,-0.0713
2.62,0.381,2.91,3.65,1.91,-0.0724
2.59,0.386,2.88,3.61,1.79,-0.0733
2.59,0.386,3.11,3.51,1.67,-0.0816
2.59,0.385,3.2,3.35,1.63,-0.0675
2.67,0.374,3.2,3.26,1.7,-0.0424
2.75,0.364,3.2,3.19,1.86,-0.0307
2.73,0.366,3.26,3.11,1.95,-0.0373
2.62,0.382,3.28,2.84,1.96,-0.0446
2.56,0.39,3.34,2.56,2.06,-0.027
2.6,0.385,3.39,2.72,2.05,-0.0026
2.76,0.362,3.48,2.77,2.05,0.0141
2.82,0.355,3.48,2.68,1.97,0.0109
2.82,0.354,3.47,2.56,2,-0.00174
2.78,0.36,3.22,3.08,2.05,-0.0121
2.85,0.35,3.16,3.78,2.19,-0.0202
2.96,0.337,3.14,3.96,2.12,-0.0219
3.06,0.327,3.01,4.17,2.05,-0.0269
3.11,0.321,2.99,4.81,1.93,-0.016
3.12,0.321,2.92,5.31,1.91,-0.0175
3.09,0.324,2.93,5.48,1.88,-0.0254
3.01,0.332,2.75,5.55,1.86,-0.0436
2.98,0.336,2.97,5.63,1.92,-0.0696
2.98,0.335,2.97,5.66,1.85,-0.067
2.97,0.337,3.01,5.67,1.9,-0.0497
2.96,0.338,3.07,5.66,1.86,-0.045
2.81,0.356,2.95,5.61,1.63,-0.0595
2.64,0.379,3,5.59,1.75,-0.0515
2.45,0.409,3.06,5.48,1.77,-0.0466
2.32,0.431,3.14,5.1,1.78,-0.0506
2.4,0.417,3.14,4.56,1.92,-0.0237
2.57,0.39,3.16,4.31,1.83,-0.015
2.58,0.387,3.2,4.11,1.91,-0.00615
2.64,0.379,3.25,3.93,1.96,0.0173
3.05,0.328,3.34,4.68,2,0.0142
3.43,0.292,3.51,5.31,1.99,-0.00279
3.53,0.284,3.57,5.46,2.03,-0.00943
3.56,0.281,3.6,5.49,2,-0.00992
3.57,0.28,3.56,5.54,1.98,-0.0138
3.56,0.281,3.49,5.55,1.98,-0.0146
3.53,0.283,3.49,5.58,1.92,-0.0155
3.47,0.288,3.46,5.66,1.91,-0.0141
3.44,0.291,3.54,5.71,1.99,-0.00913
3.49,0.287,3.29,5.74,1.85,-0.00891
3.45,0.29,3.24,5.7,1.81,-0.0123
3,0.333,3.13,5.41,1.94,-0.0196
2.67,0.375,2.98,4.89,1.89,0.00358
2.69,0.372,2.97,4.6,1.89,0.0222
2.66,0.376,2.96,4.51,2.03,0.0204
2.65,0.377,2.99,4.51,2.05,0.0237
2.7,0.37,3.08,4.51,2.06,0.0491
2.8,0.358,3.17,4.3,2.04,0.0663
2.83,0.354,3.18,4.05,1.96,0.0731
2.72,0.368,3.32,3.89,1.95,0.0937
2.63,0.38,3.34,3.92,1.99,0.132
2.65,0.377,3.28,4.03,1.96,0.145
2.72,0.367,3.15,4.05,1.91,0.127
2.66,0.376,3.07,4.05,1.95,0.132
2.56,0.391,3.15,4.17,1.86,0.153
2.67,0.374,3.16,4.21,1.71,0.142
2.77,0.361,3.19,4.15,1.69,0.108
2.72,0.368,3.11,4.15,1.7,0.0848
2.65,0.377,3.22,4.16,1.89,0.0648
2.64,0.379,3.13,4.37,1.92,0.0368
2.68,0.373,2.95,4.69,1.91,0.00718
2.69,0.371,2.96,4.88,1.93,-0.00917
2.62,0.382,2.99,4.99,1.91,-0.0172
2.58,0.387,2.96,5.03,1.8,-0.019
2.6,0.384,3.03,4.98,1.76,-0.0124
2.64,0.379,2.97,4.95,1.82,-0.00401
2.57,0.389,2.9,5.02,1.85,-0.0045
2.52,0.396,2.93,5.1,1.89,0.00547
2.56,0.391,2.82,5.1,1.86,0.0142
2.69,0.372,2.64,5.13,1.68,0.0294
2.96,0.337,2.6,5.11,1.66,0.0363
3.31,0.302,2.7,5.21,1.68,0.0193
3.5,0.285,2.86,5.39,1.72,0.000756
3.51,0.285,2.91,5.53,1.78,-0.00662
3.52,0.284,2.84,5.64,2.02,-0.00501
3.51,0.285,2.92,5.67,2.12,-0.00598
3.45,0.29,2.97,5.63,2.12,-0.00886
3.4,0.294,3.02,5.58,2.19,-0.0091
3.38,0.296,3.01,5.56,2.16,-0.0114
3.38,0.296,3.05,5.57,2.22,-0.0158
3.25,0.307,3.14,5.54,2.36,-0.029
2.89,0.346,3.18,5.39,2.43,-0.0552
2.22,0.451,3.12,5.01,2.44,-0.0692
1.94,0.515,3.07,4.49,2.41,0.00168
2.04,0.49,3.06,4.01,2.37,-0.0289
2.21,0.452,3.06,3.73,2.21,-0.097
2.5,0.399,3.11,3.81,2.12,-0.111
2.56,0.39,3.11,3.91,2.13,-0.113
2.6,0.385,3.03,3.9,2.17,-0.113
2.66,0.376,2.99,3.87,2.23,-0.0953
2.73,0.366,2.88,3.76,2.04,-0.0927
2.77,0.361,2.82,3.59,2.11,-0.0937
2.79,0.359,2.92,3.52,2.09,-0.105
2.76,0.363,2.93,3.61,2.12,-0.126
2.73,0.366,2.92,3.81,2.06,-0.127
2.64,0.378,2.92,3.9,2.09,-0.119
2.46,0.406,3.1,3.78,2.13,-0.122
2.33,0.43,2.97,3.46,2.08,-0.146
2.31,0.433,2.98,3.24,2.03,-0.142
2.25,0.443,3.03,3.23,1.87,-0.164
2.07,0.484,3.1,3.24,1.88,-0.205
2.08,0.481,3.23,3.26,1.83,-0.18
3.27,0.305,3.3,4.03,2.47,0.0119
3.39,0.295,3.3,3.96,2.37,0.0167
3.4,0.295,3.21,3.99,2.4,0.0166
3.25,0.308,3.12,4,2.32,0.0318
3.18,0.314,3,3.9,2.42,0.0411
3.29,0.304,3.12,3.86,2.46,0.0296
3.48,0.287,3.22,3.87,2.89,0.0124
3.63,0.275,3.27,3.98,2.94,0.00119
3.72,0.269,3.4,4.41,2.94,-0.0021
3.81,0.262,3.4,4.72,2.94,-0.0025
3.89,0.257,3.19,4.91,2.9,-0.00803
3.84,0.26,3.07,4.93,2.92,-0.012
3.78,0.264,3.01,4.93,2.88,-0.0119
3.74,0.267,2.99,4.97,2.88,-0.0138
3.71,0.27,3.02,4.98,2.9,-0.0164
