lowlevel.spectral_flux.mean,lowlevel.spectral_kurtosis.mean,lowlevel.spectral_rms.mean,lowlevel.spectral_rolloff.mean,lowlevel.spectral_skewness.mean,lowlevel.spectral_spread.mean,lowlevel.spectral_decrease.mean,lowlevel.spectral_centroid.mean,lowlevel.spectral_complexity.mean,lowlevel.spectral_contrast_coeffs.mean.0,lowlevel.spectral_contrast_coeffs.mean.1,lowlevel.spectral_contrast_coeffs.mean.2,lowlevel.spectral_contrast_coeffs.mean.3,lowlevel.spectral_contrast_coeffs.mean.4,lowlevel.spectral_contrast_coeffs.mean.5,lowlevel.spectral_contrast_valleys.mean.0,lowlevel.spectral_contrast_valleys.mean.1,lowlevel.spectral_contrast_valleys.mean.2,lowlevel.spectral_contrast_valleys.mean.3,lowlevel.spectral_contrast_valleys.mean.4,lowlevel.spectral_contrast_valleys.mean.5,lowlevel.dissonance.mean
0.06,10.87,0.00,550.29,2.44,4397652.50,0.00,589.17,10.27,-0.53,-0.57,-0.68,-0.73,-0.76,-0.78,-8.44,-7.29,-8.26,-9.21,-8.94,-11.46,0.39
0.05,9.93,0.00,566.08,2.37,4562380.50,0.00,586.00,8.42,-0.54,-0.58,-0.69,-0.74,-0.77,-0.78,-8.54,-7.52,-8.40,-9.39,-9.07,-11.58,0.40
0.05,10.39,0.00,544.07,2.39,3531271.50,0.00,572.16,8.89,-0.54,-0.58,-0.70,-0.74,-0.76,-0.77,-8.48,-7.54,-8.42,-9.49,-9.12,-11.78,0.40
0.04,9.84,0.00,560.34,2.36,3918276.00,0.00,588.39,8.91,-0.56,-0.57,-0.70,-0.73,-0.76,-0.78,-8.53,-7.69,-8.46,-9.59,-9.12,-11.71,0.40
0.04,9.90,0.00,563.21,2.34,3829199.00,0.00,606.25,9.07,-0.56,-0.56,-0.70,-0.72,-0.75,-0.78,-8.54,-7.76,-8.45,-9.64,-9.17,-11.76,0.40
0.05,9.64,0.00,557.95,2.31,4411741.00,0.00,598.51,9.49,-0.55,-0.55,-0.69,-0.72,-0.75,-0.78,-8.45,-7.72,-8.43,-9.54,-9.05,-11.58,0.41
0.05,9.71,0.00,512.01,2.32,4335762.00,0.00,609.83,10.04,-0.56,-0.54,-0.69,-0.71,-0.74,-0.77,-8.37,-7.71,-8.42,-9.51,-9.01,-11.61,0.40
0.05,9.79,0.00,494.31,2.34,3976199.00,0.00,550.87,10.27,-0.54,-0.53,-0.69,-0.72,-0.75,-0.78,-8.28,-7.65,-8.33,-9.40,-8.93,-11.55,0.40
0.04,10.78,0.00,745.05,2.42,4042324.00,0.00,603.09,9.47,-0.54,-0.53,-0.69,-0.72,-0.74,-0.77,-8.45,-7.82,-8.50,-9.56,-9.09,-11.68,0.40
0.05,10.05,0.00,477.56,2.39,4265458.00,0.00,522.95,8.80,-0.53,-0.54,-0.70,-0.73,-0.75,-0.78,-8.48,-7.75,-8.46,-9.50,-9.12,-11.64,0.39
0.05,10.27,0.00,521.58,2.38,4330376.00,0.00,536.89,7.93,-0.53,-0.56,-0.69,-0.73,-0.74,-0.78,-8.53,-7.81,-8.59,-9.61,-9.27,-11.80,0.39
0.05,9.06,0.00,501.48,2.30,4149972.50,0.00,523.57,7.84,-0.54,-0.57,-0.69,-0.73,-0.75,-0.78,-8.49,-7.83,-8.70,-9.68,-9.33,-11.79,0.39
0.07,9.02,0.00,533.07,2.27,4736855.00,0.00,553.99,9.16,-0.52,-0.55,-0.67,-0.73,-0.74,-0.78,-8.36,-7.63,-8.51,-9.39,-9.05,-11.44,0.39
0.06,9.38,0.00,535.46,2.34,4173403.75,0.00,554.96,8.22,-0.53,-0.56,-0.68,-0.74,-0.75,-0.79,-8.48,-7.76,-8.63,-9.48,-9.17,-11.56,0.38
0.06,9.41,0.00,528.28,2.37,4261129.50,0.00,534.72,7.33,-0.55,-0.59,-0.69,-0.75,-0.76,-0.79,-8.44,-7.69,-8.66,-9.51,-9.24,-11.65,0.39
0.06,10.11,0.00,550.29,2.43,4664934.00,0.00,536.73,7.64,-0.54,-0.60,-0.70,-0.75,-0.76,-0.79,-8.43,-7.58,-8.58,-9.40,-9.19,-11.59,0.39
0.06,9.05,0.00,597.67,2.34,4564100.00,0.00,555.78,8.13,-0.54,-0.61,-0.70,-0.76,-0.77,-0.79,-8.47,-7.40,-8.43,-9.27,-9.14,-11.56,0.39
0.07,9.08,0.00,602.93,2.33,4694735.50,0.00,567.47,8.24,-0.53,-0.62,-0.69,-0.76,-0.77,-0.79,-8.43,-7.29,-8.33,-9.22,-9.05,-11.49,0.39
0.06,9.87,0.00,570.87,2.44,4597089.00,0.00,539.20,7.58,-0.53,-0.63,-0.71,-0.76,-0.78,-0.80,-8.62,-7.40,-8.43,-9.35,-9.18,-11.59,0.39
0.06,10.85,0.00,513.45,2.54,4315065.00,0.00,491.32,8.07,-0.54,-0.63,-0.72,-0.76,-0.79,-0.79,-8.44,-7.33,-8.37,-9.32,-9.16,-11.66,0.39
0.06,11.27,0.00,524.45,2.60,4092396.50,0.00,484.10,8.56,-0.54,-0.62,-0.72,-0.76,-0.79,-0.80,-8.39,-7.29,-8.31,-9.27,-9.07,-11.58,0.40
0.06,10.86,0.00,491.44,2.56,4304003.00,0.00,472.81,9.22,-0.53,-0.61,-0.71,-0.75,-0.79,-0.79,-8.36,-7.18,-8.21,-9.22,-9.04,-11.66,0.40
0.06,11.75,0.00,510.58,2.64,4239101.50,0.00,483.05,9.96,-0.52,-0.60,-0.71,-0.75,-0.78,-0.79,-8.38,-7.17,-8.19,-9.15,-8.95,-11.58,0.40
0.07,11.73,0.00,491.91,2.65,4311598.00,0.00,465.33,10.80,-0.51,-0.61,-0.71,-0.75,-0.78,-0.79,-8.25,-7.01,-8.04,-9.09,-8.89,-11.51,0.41
0.07,10.99,0.00,488.09,2.55,4036860.00,0.00,464.38,11.29,-0.51,-0.60,-0.71,-0.75,-0.78,-0.78,-8.24,-6.99,-8.05,-9.09,-8.84,-11.52,0.41
0.06,11.04,0.00,487.13,2.55,4278515.00,0.00,473.35,10.91,-0.51,-0.59,-0.70,-0.74,-0.77,-0.79,-8.38,-7.09,-8.12,-9.18,-8.92,-11.55,0.41
0.05,11.42,0.00,448.37,2.56,4084904.50,0.00,467.46,10.38,-0.52,-0.59,-0.70,-0.74,-0.77,-0.78,-8.41,-7.19,-8.20,-9.37,-8.97,-11.64,0.41
0.05,11.78,0.00,534.02,2.59,3710311.00,0.00,497.60,10.09,-0.52,-0.58,-0.71,-0.74,-0.77,-0.78,-8.40,-7.37,-8.27,-9.40,-9.03,-11.71,0.41
0.05,10.75,0.00,622.55,2.48,3633112.25,0.00,570.52,10.51,-0.52,-0.57,-0.70,-0.73,-0.76,-0.78,-8.42,-7.36,-8.21,-9.36,-8.93,-11.65,0.41
0.05,9.90,0.00,698.15,2.37,4202400.00,0.00,635.46,10.27,-0.54,-0.57,-0.70,-0.74,-0.76,-0.78,-8.38,-7.41,-8.27,-9.29,-8.89,-11.53,0.41
0.05,10.08,0.00,659.39,2.35,4539806.00,0.00,666.01,9.78,-0.55,-0.58,-0.69,-0.73,-0.75,-0.78,-8.36,-7.44,-8.31,-9.36,-8.95,-11.61,0.41
0.06,10.28,0.00,660.35,2.38,4458240.50,0.00,660.85,11.04,-0.52,-0.58,-0.69,-0.73,-0.74,-0.78,-8.41,-7.32,-8.15,-9.28,-8.86,-11.41,0.40
0.06,9.70,0.00,683.80,2.32,3847970.75,0.00,666.88,10.62,-0.53,-0.59,-0.69,-0.73,-0.74,-0.78,-8.36,-7.36,-8.19,-9.36,-8.94,-11.49,0.40
0.06,10.05,0.00,684.76,2.35,4328466.00,0.00,673.85,10.31,-0.53,-0.59,-0.69,-0.73,-0.74,-0.78,-8.48,-7.40,-8.26,-9.45,-9.06,-11.53,0.41
0.07,10.15,0.00,698.63,2.35,4370590.50,0.00,706.07,12.13,-0.53,-0.58,-0.68,-0.72,-0.73,-0.78,-8.28,-7.22,-8.05,-9.21,-8.83,-11.31,0.41
0.07,9.22,0.00,704.38,2.28,4550062.00,0.00,736.27,11.27,-0.53,-0.59,-0.68,-0.72,-0.72,-0.78,-8.49,-7.31,-8.12,-9.33,-9.02,-11.36,0.40
0.07,9.19,0.00,684.76,2.27,4730559.00,0.00,719.68,9.69,-0.53,-0.61,-0.69,-0.73,-0.73,-0.78,-8.60,-7.39,-8.25,-9.39,-9.13,-11.48,0.41
0.06,8.45,0.00,712.51,2.18,4720967.00,0.00,743.47,10.13,-0.53,-0.62,-0.69,-0.74,-0.72,-0.78,-8.62,-7.32,-8.23,-9.36,-9.11,-11.44,0.41
0.07,8.70,0.00,625.42,2.22,4534212.00,0.00,693.28,10.60,-0.51,-0.62,-0.69,-0.74,-0.72,-0.78,-8.68,-7.15,-8.11,-9.23,-9.06,-11.39,0.41
0.07,8.23,0.00,622.07,2.19,4245189.50,0.00,704.85,10.58,-0.51,-0.62,-0.69,-0.74,-0.72,-0.78,-8.67,-7.13,-8.09,-9.30,-9.06,-11.43,0.41
0.07,8.33,0.00,612.02,2.21,4472475.50,0.00,656.32,11.36,-0.50,-0.62,-0.69,-0.74,-0.72,-0.78,-8.62,-7.03,-8.05,-9.25,-9.00,-11.28,0.41
0.07,8.33,0.00,611.54,2.20,4399275.50,0.00,644.91,10.96,-0.51,-0.61,-0.69,-0.74,-0.72,-0.78,-8.60,-7.02,-8.07,-9.20,-9.06,-11.32,0.42
0.07,7.91,0.00,578.53,2.18,4400250.50,0.00,639.06,11.18,-0.53,-0.61,-0.69,-0.75,-0.72,-0.78,-8.49,-7.04,-8.04,-9.13,-9.01,-11.34,0.42
0.07,8.55,0.00,569.91,2.22,4593026.50,0.00,656.18,11.96,-0.52,-0.60,-0.69,-0.74,-0.72,-0.77,-8.50,-7.06,-7.97,-9.04,-8.90,-11.33,0.42
0.06,7.72,0.00,578.53,2.14,4415738.50,0.00,651.33,10.82,-0.52,-0.59,-0.69,-0.74,-0.72,-0.78,-8.66,-7.23,-8.11,-9.15,-9.00,-11.39,0.42
0.06,7.76,0.00,554.60,2.15,4057343.00,0.00,623.39,10.91,-0.52,-0.59,-0.70,-0.74,-0.73,-0.78,-8.45,-7.22,-8.05,-9.15,-8.89,-11.35,0.42
0.06,8.33,0.00,556.04,2.17,4326888.00,0.00,603.63,11.02,-0.52,-0.58,-0.71,-0.74,-0.74,-0.78,-8.36,-7.25,-8.07,-9.15,-8.86,-11.37,0.43
0.06,8.52,0.00,535.94,2.22,4170085.00,0.00,586.71,11.82,-0.52,-0.57,-0.70,-0.73,-0.74,-0.78,-8.30,-7.23,-8.00,-9.11,-8.79,-11.30,0.42
0.06,8.66,0.00,522.06,2.25,4206461.00,0.00,584.20,12.16,-0.53,-0.55,-0.69,-0.73,-0.73,-0.78,-8.21,-7.25,-8.02,-9.08,-8.84,-11.32,0.42
0.06,8.61,0.00,555.56,2.21,4674221.50,0.00,604.87,12.04,-0.53,-0.55,-0.69,-0.73,-0.73,-0.78,-8.17,-7.30,-8.07,-9.07,-8.81,-11.29,0.42
0.05,8.60,0.00,574.22,2.23,3883453.25,0.00,621.40,11.60,-0.54,-0.55,-0.69,-0.73,-0.73,-0.78,-8.20,-7.45,-8.12,-9.19,-8.86,-11.43,0.41
0.06,9.24,0.00,496.22,2.29,3891047.00,0.00,557.44,11.87,-0.53,-0.54,-0.69,-0.73,-0.74,-0.78,-8.10,-7.40,-8.12,-9.23,-8.82,-11.38,0.41
0.07,8.72,0.01,505.79,2.23,4538795.50,0.00,557.38,12.67,-0.52,-0.53,-0.68,-0.73,-0.73,-0.78,-8.09,-7.24,-8.02,-9.12,-8.72,-11.22,0.41
0.06,8.56,0.00,505.31,2.22,4558254.00,0.00,565.86,10.84,-0.51,-0.56,-0.68,-0.73,-0.73,-0.78,-8.36,-7.39,-8.22,-9.33,-8.92,-11.31,0.40
0.06,9.09,0.00,527.80,2.27,4110844.50,0.00,554.06,10.24,-0.51,-0.57,-0.68,-0.73,-0.74,-0.78,-8.36,-7.38,-8.31,-9.33,-9.02,-11.45,0.40
0.06,8.86,0.00,523.97,2.26,4593232.50,0.00,581.53,10.00,-0.52,-0.57,-0.68,-0.73,-0.73,-0.78,-8.38,-7.43,-8.39,-9.41,-9.07,-11.45,0.39
0.07,9.09,0.00,560.34,2.30,4060362.25,0.00,579.04,10.82,-0.52,-0.56,-0.67,-0.72,-0.73,-0.78,-8.40,-7.37,-8.35,-9.34,-9.02,-11.41,0.40
0.08,9.40,0.00,565.13,2.31,4834832.00,0.00,597.14,10.78,-0.52,-0.56,-0.67,-0.72,-0.72,-0.78,-8.30,-7.29,-8.28,-9.29,-8.99,-11.26,0.39
0.06,8.75,0.00,558.43,2.26,4624818.50,0.00,594.56,8.40,-0.53,-0.59,-0.69,-0.74,-0.74,-0.79,-8.62,-7.54,-8.53,-9.49,-9.25,-11.59,0.40
0.06,9.40,0.00,560.82,2.33,4589123.00,0.00,582.19,9.07,-0.52,-0.59,-0.68,-0.73,-0.74,-0.78,-8.55,-7.36,-8.48,-9.44,-9.18,-11.52,0.39
0.06,9.38,0.00,573.74,2.32,4783176.00,0.00,595.27,9.87,-0.50,-0.59,-0.68,-0.73,-0.74,-0.78,-8.70,-7.27,-8.42,-9.31,-9.09,-11.41,0.39
0.06,8.11,0.00,583.31,2.20,4727958.50,0.00,585.99,8.44,-0.51,-0.61,-0.69,-0.73,-0.74,-0.78,-8.71,-7.36,-8.50,-9.47,-9.21,-11.56,0.39
0.06,9.37,0.00,500.53,2.34,4476767.50,0.00,543.15,9.49,-0.49,-0.61,-0.69,-0.73,-0.75,-0.79,-8.70,-7.24,-8.44,-9.39,-9.10,-11.50,0.39
0.07,9.84,0.00,495.74,2.38,4402715.50,0.00,554.16,9.58,-0.49,-0.60,-0.70,-0.72,-0.76,-0.78,-8.65,-7.24,-8.39,-9.38,-9.05,-11.53,0.39
0.06,10.07,0.00,486.65,2.41,3912293.75,0.00,512.11,9.91,-0.51,-0.59,-0.71,-0.72,-0.76,-0.78,-8.48,-7.21,-8.32,-9.35,-9.01,-11.57,0.39
0.06,10.79,0.00,463.68,2.50,4182213.75,0.00,504.83,9.47,-0.51,-0.58,-0.72,-0.72,-0.76,-0.79,-8.60,-7.23,-8.36,-9.42,-9.06,-11.56,0.39
0.05,11.35,0.00,484.26,2.53,4177014.75,0.00,508.44,9.20,-0.51,-0.59,-0.73,-0.73,-0.76,-0.79,-8.69,-7.24,-8.33,-9.45,-9.08,-11.62,0.40
0.05,11.46,0.00,446.46,2.57,4130454.50,0.00,468.35,9.51,-0.50,-0.59,-0.74,-0.74,-0.77,-0.79,-8.65,-7.22,-8.26,-9.42,-9.06,-11.60,0.40
0.05,12.87,0.00,429.71,2.68,4011336.25,0.00,451.42,9.73,-0.50,-0.58,-0.73,-0.73,-0.76,-0.79,-8.67,-7.18,-8.21,-9.41,-9.11,-11.69,0.40
0.05,12.90,0.00,437.36,2.70,3843730.75,0.00,460.85,9.42,-0.52,-0.57,-0.74,-0.73,-0.77,-0.80,-8.64,-7.29,-8.28,-9.51,-9.17,-11.73,0.40
0.06,13.81,0.00,466.55,2.76,3936236.50,0.00,506.61,10.04,-0.51,-0.56,-0.74,-0.73,-0.76,-0.80,-8.60,-7.23,-8.12,-9.39,-9.08,-11.59,0.40
0.05,14.00,0.00,542.16,2.72,3915242.25,0.00,588.70,9.98,-0.52,-0.56,-0.73,-0.73,-0.75,-0.79,-8.60,-7.35,-8.19,-9.43,-9.14,-11.64,0.40
0.06,13.11,0.00,612.98,2.62,3553471.00,0.00,635.84,11.62,-0.53,-0.54,-0.73,-0.72,-0.74,-0.78,-8.36,-7.21,-7.98,-9.19,-8.95,-11.50,0.41
0.05,12.14,0.00,682.36,2.50,4401181.50,0.00,697.67,12.20,-0.55,-0.54,-0.72,-0.71,-0.72,-0.77,-8.39,-7.26,-8.07,-9.26,-9.02,-11.47,0.41
0.06,12.15,0.00,703.42,2.50,3995025.75,0.00,746.97,11.93,-0.56,-0.52,-0.70,-0.70,-0.71,-0.77,-8.49,-7.39,-8.11,-9.35,-9.03,-11.48,0.41
0.06,10.89,0.00,754.62,2.39,4271299.00,0.00,796.82,12.11,-0.56,-0.53,-0.69,-0.70,-0.70,-0.77,-8.52,-7.39,-8.15,-9.30,-9.10,-11.41,0.41
0.06,10.59,0.00,770.41,2.35,4381281.50,0.00,806.86,12.33,-0.57,-0.53,-0.68,-0.70,-0.69,-0.77,-8.42,-7.43,-8.16,-9.29,-9.13,-11.41,0.41
0.07,10.25,0.00,810.61,2.28,4641772.00,0.00,858.11,12.78,-0.57,-0.52,-0.67,-0.68,-0.68,-0.76,-8.43,-7.44,-8.14,-9.32,-9.10,-11.35,0.41
0.07,8.95,0.00,851.28,2.16,4015562.00,0.00,928.31,12.73,-0.58,-0.52,-0.66,-0.68,-0.67,-0.75,-8.49,-7.51,-8.18,-9.36,-9.13,-11.40,0.41
0.08,8.21,0.00,950.33,2.08,4463366.50,0.00,994.48,13.42,-0.58,-0.52,-0.66,-0.67,-0.67,-0.75,-8.53,-7.46,-8.07,-9.27,-9.04,-11.25,0.42
0.08,7.43,0.00,977.71,2.01,4003658.25,0.00,1014.81,14.12,-0.59,-0.51,-0.65,-0.66,-0.66,-0.74,-8.38,-7.39,-7.96,-9.15,-8.95,-11.19,0.42
0.09,7.98,0.00,992.23,2.06,3952215.50,0.00,999.01,14.45,-0.59,-0.51,-0.66,-0.66,-0.65,-0.73,-8.36,-7.34,-7.91,-9.13,-8.98,-11.26,0.42
0.09,7.36,0.01,978.49,2.02,4051327.00,0.00,980.68,14.62,-0.59,-0.52,-0.66,-0.66,-0.65,-0.73,-8.35,-7.29,-7.91,-9.07,-8.99,-11.25,0.42
0.09,8.89,0.00,918.75,2.16,4103791.50,0.00,938.27,13.23,-0.59,-0.51,-0.67,-0.66,-0.66,-0.73,-8.49,-7.44,-8.01,-9.18,-9.07,-11.33,0.41
0.09,7.71,0.00,920.96,2.07,4044867.75,0.00,930.17,12.81,-0.59,-0.52,-0.66,-0.67,-0.66,-0.74,-8.41,-7.41,-8.02,-9.18,-9.15,-11.39,0.41
0.10,8.51,0.00,840.77,2.17,4097787.00,0.00,884.80,12.45,-0.59,-0.54,-0.67,-0.68,-0.68,-0.75,-8.44,-7.32,-8.00,-9.12,-9.09,-11.38,0.40
0.11,9.28,0.00,896.02,2.26,4438556.50,0.00,911.23,12.50,-0.59,-0.54,-0.68,-0.68,-0.68,-0.74,-8.50,-7.27,-7.91,-9.11,-9.12,-11.40,0.39
0.12,8.53,0.00,1032.06,2.24,4507887.00,0.00,1014.46,12.64,-0.60,-0.57,-0.69,-0.70,-0.69,-0.75,-8.49,-7.20,-7.82,-8.87,-8.98,-11.25,0.40
0.12,9.41,0.00,1208.01,2.30,5551294.50,0.00,1128.40,12.40,-0.63,-0.58,-0.70,-0.69,-0.68,-0.75,-8.48,-7.31,-7.92,-8.97,-9.16,-11.41,0.39
0.14,10.16,0.00,1363.77,2.53,5590972.00,0.00,1067.50,11.67,-0.64,-0.65,-0.76,-0.74,-0.75,-0.79,-8.40,-7.15,-7.74,-8.47,-8.85,-11.16,0.33
0.05,7.17,0.00,1897.79,1.65,3087746.75,0.00,1486.50,11.22,-0.68,-0.74,-0.73,-0.72,-0.77,-0.73,-8.44,-7.37,-8.13,-8.17,-8.49,-12.09,0.45
0.05,6.79,0.00,1826.97,1.62,3238567.00,0.00,1444.73,10.71,-0.68,-0.75,-0.73,-0.72,-0.76,-0.73,-8.52,-7.40,-8.25,-8.27,-8.66,-12.22,0.44
0.06,7.31,0.00,1851.38,1.64,3324169.25,0.00,1460.17,12.16,-0.67,-0.74,-0.72,-0.71,-0.75,-0.73,-8.45,-7.26,-8.05,-8.18,-8.50,-12.09,0.45
0.06,7.74,0.00,1893.49,1.68,2905466.50,0.00,1493.72,12.16,-0.66,-0.73,-0.72,-0.71,-0.75,-0.72,-8.52,-7.22,-7.96,-8.12,-8.44,-12.12,0.44
0.06,7.68,0.00,1902.10,1.68,3215785.25,0.00,1490.12,12.16,-0.66,-0.72,-0.73,-0.70,-0.74,-0.72,-8.56,-7.24,-7.98,-8.16,-8.46,-12.05,0.44
0.06,7.16,0.00,1839.89,1.64,3195435.50,0.00,1446.70,12.87,-0.66,-0.72,-0.73,-0.70,-0.74,-0.72,-8.35,-7.12,-7.86,-8.10,-8.40,-11.99,0.44
0.08,7.41,0.00,1742.75,1.67,3281489.75,0.00,1408.95,15.93,-0.65,-0.70,-0.73,-0.69,-0.74,-0.71,-8.04,-6.83,-7.62,-7.90,-8.17,-11.78,0.44
0.07,6.61,0.00,1767.16,1.60,3265533.25,0.00,1390.41,14.96,-0.66,-0.69,-0.74,-0.69,-0.74,-0.71,-8.14,-6.95,-7.62,-7.90,-8.19,-11.80,0.44
0.08,7.07,0.00,1694.90,1.65,3272906.25,0.00,1333.30,15.29,-0.65,-0.68,-0.74,-0.69,-0.74,-0.71,-8.12,-6.90,-7.61,-7.82,-8.19,-11.82,0.44
0.08,8.00,0.00,1588.67,1.75,3185818.25,0.00,1256.82,15.58,-0.65,-0.68,-0.74,-0.68,-0.74,-0.71,-8.04,-6.82,-7.62,-7.86,-8.25,-11.89,0.44
0.09,8.29,0.00,1572.40,1.78,2738071.75,0.00,1263.41,15.60,-0.65,-0.68,-0.73,-0.69,-0.74,-0.71,-7.88,-6.84,-7.57,-7.83,-8.23,-11.90,0.44
0.10,7.27,0.00,1643.22,1.68,3180425.25,0.00,1325.58,17.78,-0.64,-0.67,-0.73,-0.68,-0.74,-0.70,-7.70,-6.64,-7.41,-7.61,-7.97,-11.66,0.43
0.10,7.32,0.01,1759.98,1.67,3130279.75,0.00,1396.41,18.07,-0.63,-0.66,-0.73,-0.68,-0.73,-0.70,-7.78,-6.69,-7.46,-7.52,-7.90,-11.56,0.44
0.10,8.38,0.01,1758.54,1.73,2644365.75,0.00,1370.50,18.02,-0.62,-0.64,-0.73,-0.68,-0.73,-0.70,-7.71,-6.73,-7.50,-7.51,-7.89,-11.57,0.44
0.10,8.02,0.01,1670.50,1.75,3295610.75,0.00,1306.13,17.09,-0.62,-0.65,-0.73,-0.68,-0.73,-0.71,-7.67,-6.84,-7.58,-7.61,-8.02,-11.60,0.43
0.10,6.72,0.01,1570.97,1.64,3445724.75,0.00,1259.93,17.02,-0.62,-0.65,-0.73,-0.68,-0.74,-0.71,-7.60,-6.82,-7.58,-7.55,-7.99,-11.56,0.43
0.10,8.09,0.01,1594.41,1.76,3160475.00,0.00,1277.75,16.64,-0.61,-0.64,-0.73,-0.68,-0.74,-0.71,-7.59,-6.91,-7.59,-7.58,-7.97,-11.55,0.44
0.10,7.61,0.01,1633.65,1.70,3248303.00,0.00,1308.33,16.89,-0.61,-0.64,-0.72,-0.67,-0.73,-0.70,-7.69,-6.87,-7.59,-7.58,-7.93,-11.47,0.44
0.10,7.17,0.01,1564.27,1.66,3095394.75,0.00,1269.59,17.49,-0.60,-0.63,-0.73,-0.68,-0.73,-0.70,-7.60,-6.86,-7.48,-7.52,-7.89,-11.43,0.44
0.11,7.67,0.01,1562.35,1.70,3055925.75,0.00,1272.85,17.84,-0.60,-0.63,-0.74,-0.68,-0.73,-0.70,-7.44,-6.84,-7.46,-7.50,-7.86,-11.38,0.44
